,Title:,Congress-Session:,Date:,Citation:,Bill:,Bill Profile:,Bill Status:,Bill Sponsor:,Permalink:,Chamber:,Cosponsors:,Subtitle:,Version Date:,Summary,PDF,TEXT,TEXT_Content
21,117 H. Res. 351 (Introduced in the House),117- 1,"April 26, 2021",117 H. Res. 351,HRes 351,Retrieve Bill Profile Report,Introduced in the House,Representative Michelle Louise Helene Fischbach (R - MN),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.117_hres_351_ih?accountid=11311,None,None,None,None,Providing for consideration of the joint resolution (H.J. Res. 11) proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,C:\Users\sal853\Documents\congressional_record\data\bills-117hres351ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-117hres351ih.txt,"IV

117TH CONGRESS
1ST SESSION

H. RES. 351

Providing for consideration of the joint resolution (H.J. Res. 11) proposing
an amendment to the Constitution of the United States to require that
the Supreme Court of the United States be composed of nine justices.

IN THE HOUSE OF REPRESENTATIVES
Mrs. FISCHBACH

APRIL 26, 2021
submitted the following resolution; which was referred to the
Committee on Rules

RESOLUTION
Providing for consideration of the joint resolution (H.J. Res.
11) proposing an amendment to the Constitution of the
United States to require that the Supreme Court of
the United States be composed of nine justices.
1

Resolved, That immediately upon adoption of this res-

2 olution, the House shall proceed to the consideration in
3 the House the joint resolution (H.J. Res. 11) proposing
4 an amendment to the Constitution of the United States
5 to require that the Supreme Court of the United States

kjohnson on DSK79L0C42PROD with BILLS

6 be composed of nine justices. All points of order against
7 consideration of the joint resolution are waived. The joint
8 resolution shall be considered as read. All points of order

VerDate Sep 11 2014

01:09 Apr 27, 2021

Jkt 019200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HR351.IH

HR351

2
1 against provisions in the joint resolution are waived. The
2 previous question shall be considered as ordered on the
3 joint resolution and on any amendment thereto to final
4 passage without intervening motion except: (1) one hour
5 of debate equally divided and controlled by the majority
6 leader and minority leader or their respective designees;
7 and (2) one motion to recommit.
8

SEC. 2. Clause 1(c) of rule XIX shall not apply to

9 the consideration of H.J. Res. 11.

kjohnson on DSK79L0C42PROD with BILLS

Æ

•HRES 351 IH
VerDate Sep 11 2014

01:09 Apr 27, 2021

Jkt 019200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HR351.IH

HR351

"
22,113 S. J. Res. 4 (Introduced in the Senate),113- 1,"January 23, 2013",113 S. J. Res. 4,SJRes 4,Retrieve Bill Profile Report,Introduced in the Senate,Senator David Vitter (R - LA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.113_sjres_4_is?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States relating to United States citizenship.,C:\Users\sal853\Documents\congressional_record\data\bills-113sjres4is.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-113sjres4is.txt,"IIA

113TH CONGRESS
1ST SESSION

S. J. RES. 4

Proposing an amendment to the Constitution of the United States relating
to United States citizenship.

IN THE SENATE OF THE UNITED STATES
JANUARY 23 (legislative day, JANUARY 3), 2013
Mr. VITTER (for himself and Mr. PAUL), introduced the following joint resolution; which was read twice and referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States relating to United States citizenship.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

smartinez on DSK6TPVN1PROD with

8 States within seven years after the date of its submission
9 for ratification by the Congress:

VerDate Mar 15 2010

00:33 Jan 24, 2013

Jkt 029200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\SJ4.IS

SJ4

2
1
2

‘‘ARTICLE —
‘‘A person born in the United States shall not be a

3 citizen of the United States unless—
4
5

‘‘(1) at the time of the person’s birth, one parent of the person is—

6

‘‘(A) a citizen of the United States;

7

‘‘(B) an alien lawfully admitted for perma-

8

nent residence in the United States who resides

9

in the United States; or

10

‘‘(C) an alien performing active service in

11

the Armed Forces of the United States; or

12

‘‘(2) the person is naturalized in accordance

13

with the laws of the United States.’’.

smartinez on DSK6TPVN1PROD with

Æ

•SJ 4 IS
VerDate Mar 15 2010

00:33 Jan 24, 2013

Jkt 029200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\SJ4.IS

SJ4

"
23,109 H. J. Res. 2 (Introduced in the House),109- 1,"January 04, 2005",109 H. J. Res. 2,HJRes 2,Retrieve Bill Profile Report,Introduced in the House,Representative John Conyers Jr. (D - MI),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.109_hjres_2_ih?accountid=11311,None,None,None,None,"Proposing an amendment to the Constitution of the United States to permit persons who are not natural-born citizens of the United States, but who have been citizens of the United States for at least 20 years, to be eligible to hold the Office of President.",C:\Users\sal853\Documents\congressional_record\data\bills-109hjres2ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-109hjres2ih.txt,"IA

109TH CONGRESS
1ST SESSION

H. J. RES. 2

Proposing an amendment to the Constitution of the United States to permit
persons who are not natural-born citizens of the United States, but
who have been citizens of the United States for at least 20 years,
to be eligible to hold the Office of President.

IN THE HOUSE OF REPRESENTATIVES
JANUARY 4, 2005
Mr. CONYERS (for himself and Mr. SHERMAN) introduced the following joint
resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to permit persons who are not natural-born citizens of the United States, but who have been citizens
of the United States for at least 20 years, to be eligible
to hold the Office of President.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States:

2
1
2

‘‘ARTICLE —
‘‘A person who has been a citizen of the United

3 States for at least 20 years shall be eligible to hold the
4 Office of President.’’.

Æ

•HJ 2 IH

"
24,101 S. J. Res. 180 (Introduced in the Senate),101- 1,"July 18, 1989",101 S.J.Res. 180,SJRES 180,Retrieve Bill Profile Report,AS INTRODUCED IN THE SENATE,Senator Robert Joseph Dole (R - KS),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.101_sjres_180_is?accountid=11311,U.S. Senate,None,None,"July 18, 1989 Version: -- 1",Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the physical desecration of the flag of the United States.,C:\Users\sal853\Documents\congressional_record\data\101-sjres180-000is-19890718.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\101-sjres180-000is-19890718.txt,"n

101ST CONGBESS
1ST SESSION

S.J.RES.180

Proposing an amendment to the Constitution of the United States authorizing the
Congress and the States to prohibit the physical desecration of the flag of the
United States.

IN THE SENATE OF THE UNITED STATES
18 Gegislative day, JANUARY 3), 1989
Mr. DOLE (for himself, Mr. DIXON, Mr. THURMOND, Mr. HEFLIN, Mr. WILSON,
Mr. GRASSLEY, Mr. HATCH, Mr. ARMSTRONG, Mr. BENTSEN, Mr. BOND,
Mr. BOSCHWITZ, Mr. BREAUX, Mr. BRYAN, Mr. BURDICK, Mr. BURNS, Mr.
BYRD, Mr. COATS, Mr. COCHRAN, Mr. COHEN, Mr. D'AMATO, Mr. DANFORTH, Mr. DECONCINI, Mr. DOMENIOI, Mr. EXON, Mr. FORD, Mr. GARN,
Mr. GORTON, Mr. GRAMM, Mr. HEINZ, Mr. HELMS, Mr. HOLLINGS, Mrs.
KASSEBAUM, Mr. KASTEN, Mr. LOTT, Mr. MACK, Mr. MCCAIN, Mr.
MCCLURE, Mr. MCCONNELL, Mr. MURKOWSKI, Mr. NICKLES, Mr. NUNN,
Mr. PRES8LEE, Mr. REID, Mr. ROBB, Mr. ROCKEFELLER, Mr. ROTH, Mr.
RUDMAN, Mr. SHELBY, Mr. SIMPSON, Mr. STEVENS, Mr. SYMMS, Mr.
WALLOP, and Mr. WARNER) introduced the following joint resolution; which
was read twice and referred to the Committee on the Judiciary
JULY

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States authorizing the Congress and the States to prohibit
the physical desecration of the flag of the United States.
Whereas the Flag of the United States of America is a national
symbol of such stature that it must be kept inviolate;
Whereas the physical desecration of the Flag should not be considered constitutionally protected speech; and

2

Whereas physical desecration may include, but is not limited to,
such acts as burning, mutilating, defacing, defiling or trampling on the Flag, or displaying the Flag in a contemptuous
manner: Now, therefore, be it
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Constitu5 tion of the United States, which shall be valid to U intents
6 and purposes as part of the Constitution when ratified by the
7 legislatures of three-fourths of the several States within
8 seven years after the date of its submission for ratification:
9
10

""AKTICLE

—

""The Congress and the States shall have power to pro-

11 hibit the physical desecration of the Flag of the United
12 States."".
O

•SJ 180 IS

"
25,64 S.J. Res. 55 (Referred w/Amendments Senate),64- 2,"December 22, 1916",64 S.J. Res. 55,SJRes 55,Retrieve Bill Profile Report,Referred w/Amendments Senate,Senator Morris Sheppard (D - TX),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.64_sjres_55_ras_19161222?accountid=11311,U.S. Senate,None,None,None,Proposing an amendment to the Constitution of the United States.,C:\Users\sal853\Documents\congressional_record\data\64-sjres55-00ras-19161222.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\64-sjres55-00ras-19161222.txt,"Calendar No. 799.
64TH CONGRESS,
2D SESSION.

S. J. RES. 55.

IN THE SENATE OF THE UNITED STATES.
DECEMBER

16, 1915.

Mr. SHEPPAKD introduced the following joint resolution; which was read twice
and referred to the Committee on the Judiciary.
DECEMBER

22, 1916.

Reported by Mr. CHILTON, with amendments.
[Omit the part struck through and insert the part printed in italic]

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein), That the

4

following amendment of the Constitution he, and herehy is,

5

proposed to the States, to become valid as a part of the

6

Constitution when ratified by the legislatures of the several

7

States as provided by the Constitution:

8
9

""ABTICLE
""SECTION

—.

1. The-sale, manufacture for sale, tranopor

10

tation for oalerHnper4a^on4er-^le-eJ-4ntoxicating liquora for

11

beverage purpoccs in the United Sfetes-and all territory aub

12

jcct to the juriodictionHto^e^^

13

forever prohibited. The sale, manufacture, or transportation

1

of intoxicating liquors within, the importation thereof into,

2

and the exportation thereof from, the United States and all

3

territory subject to the jurisdiction thereof for beverage pur-

4

poses are hereby prohibited.

5

"" SEC. 2. The Congress or the States shall have power

6

independently or eeacurrontly to enforce this article by afl

7

needful appropriate legislation.""
oM

0

O
H

O
H

H
W

60
H
W

I

i-s

o
o

K

K
a

<x>

OS

M

<r> o
M

1-1

OS

CH

II

C-l

03

1-1 •

09 Z

3

SO

QTQ

P
03
09

P

CO

Si M

CO

a
p
P

B
o
B
D

W
O
02

a

CD

o

o
rt>

a
1-3

tj

0!

in
►
o

o

&s

CD
CD

"
26,109 H. J. Res. 43 (Introduced in the House),109- 1,"April 21, 2005",109 H. J. Res. 43,HJRes 43,Retrieve Bill Profile Report,Introduced in the House,Representative Thomas G. Tancredo (R - CO),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.109_hjres_43_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to establish English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-109hjres43ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-109hjres43ih.txt,"IA

109TH CONGRESS
1ST SESSION

H. J. RES. 43

Proposing an amendment to the Constitution of the United States to establish
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
APRIL 21, 2005
Mr. TANCREDO (for himself, Mr. BARTLETT of Maryland, and Mr. JONES of
North Carolina) introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to establish English as the official language of
the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. The English language shall be the offi-

3 cial language of the United States. As the official lan4 guage, the English language shall be used for all public
5 acts including every order, resolution, vote, and election,
6 and for all records and judicial proceedings of the Govern7 ment of the United States and the governments of the sev8 eral States.
9

‘‘SECTION 2. The Congress and the States shall en-

10 force this article by appropriate legislation.’’.

Æ

•HJ 43 IH

"
27,108 H. J. Res. 29 (Introduced in the House),108- 1,"March 04, 2003",108 H. J. Res. 29,HJRes 29,Retrieve Bill Profile Report,Introduced in the House,Representative Jesse Louis Jackson Jr. (D - IL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.108_hjres_29_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States regarding the right of all citizens of the United States to a public education of equal high quality.,C:\Users\sal853\Documents\congressional_record\data\bills-108hjres29ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-108hjres29ih.txt,"IA

108TH CONGRESS
1ST SESSION

H. J. RES. 29

Proposing an amendment to the Constitution of the United States regarding
the right of all citizens of the United States to a public education
of equal high quality.

IN THE HOUSE OF REPRESENTATIVES
MARCH 4, 2003
Mr. JACKSON of Illinois (for himself, Mrs. CHRISTENSEN, Mrs. JONES of
Ohio, Mr. HINCHEY, Mr. PAYNE, Mr. RUSH, Mr. TOWNS, Mr. THOMPSON
of Mississippi, Mr. LEWIS of Georgia, Ms. JACKSON-LEE of Texas, Ms.
NORTON, Mr. OWENS, Ms. MILLENDER-MCDONALD, Ms. WATSON, Ms.
KILPATRICK, Mr. CLAY, Mr. KUCINICH, Ms. LEE, Mr. DAVIS of Illinois,
Mr. ACEVEDO-VILÁ, Mr. CONYERS, and Mr. FATTAH) introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States regarding the right of all citizens of the United
States to a public education of equal high quality.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

2
1 ratified by the legislatures of three-fourths of the several
2 States:
3
4

‘‘ARTICLE —
‘‘SECTION 1. All citizens of the United States shall

5 enjoy the right to a public education of equal high quality.
6

‘‘SECTION 2. The Congress shall have power to imple-

7 ment this article by appropriate legislation.’’.

Æ

•HJ 29 IH

"
28,103 H. J. Res. 200 (Introduced in the House),103- 1,"May 20, 1993",103 H. J. Res. 200,HJRes 200,Retrieve Bill Profile Report,Introduced in the House,Representative Robert Kenneth Dornan (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.103_hjres_200_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States limiting the number of consecutive terms members of the United States Senate and House of Representatives may serve.,C:\Users\sal853\Documents\congressional_record\data\bills-103hjres200ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-103hjres200ih.txt,"IA

103D CONGRESS
1ST SESSION

H. J. RES. 200

Proposing an amendment to the Constitution of the United States limiting
the number of consecutive terms members of the United States Senate
and House of Representatives may serve.

IN THE HOUSE OF REPRESENTATIVES
Mr. DORNAN

MAY 20, 1993
of California introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States limiting the number of consecutive terms members
of the United States Senate and House of Representatives may serve.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

2
1 ratified by the legislatures of three-fourths of the several
2 States within seven years after the date of its submission
3 for ratification:
4
5

‘‘ARTICLE —
‘‘SECTION 1. No person may serve any term or por-

6 tion thereof as a member of the United States House of
7 Representatives if such person has served as a member
8 of the House for each of the five terms, or a portion of
9 any such term, immediately preceding such term.
10

‘‘SECTION 2. No person may serve any term or por-

11 tion thereof as a member of the United States Senate if
12 such person has served as a member of the Senate for
13 each of the two terms, or a portion of any such term, im14 mediately preceding such term.
15

‘‘SECTION 3. For purposes of this article, service as

16 a member in the United States Senate or House of Rep17 resentatives in any term which commenced before the rati18 fication of this article may not be included in determining
19 the number of terms served.’’.
Æ

•HJ 200 IH

"
29,101 H. J. Res. 336 (Introduced in the House),101- 1,"June 27, 1989",101 H.J.Res. 336,HJRes 336,Retrieve Bill Profile Report,AS INTRODUCED IN THE HOUSE,Representative Christopher H. Smith (R - NJ),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.101_hjres_336_ih?accountid=11311,U.S. House of Representatives,None,None,"June 27, 1989 Version: -- 1",Proposing an amendment to the Constitution of the United States relative to the protection of the flag of the United States.,C:\Users\sal853\Documents\congressional_record\data\101-hjres336-000ih-19890627.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\101-hjres336-000ih-19890627.txt,"IA

101ST CONGRESS
1ST SESSION

H. J. RES. 336

Proposing an amendment to the Constitution of the United States relative to the
protection of the flag of the United States.

IN THE HOUSE OF REPRESENTATIVES
JUNE 27, 1989
Mr. SMITH of New Jersey (for himself and Mr. WOLF) introduced the following
joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States relative to the protection of the flag of the United
States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Constitu5 tion of the United States, which shall be valid to all intents
6 and purposes as part of the Constitution when ratified by the
7 legislatures of three-fourths of the several States within
8 seven years after the date of its submission by the Congress:

2
1
2

""ABTICLE
""SECTION

—

1. No person shall publicly mutilate, deface,

3 defile, trample upon, or in any other way desecrate the flag
4 of the United States.
5

""SECTION

2. The Congress shall have the power to en-

6 force, by appropriate legislation, the provisions of this article.
7

""SECTION

3. 'inis article shall take effect immediately

8 upon ratification.
O

H.J 336 III

"
30,105 H. J. Res. 127 (Introduced in the House),105- 2,"August 06, 1998",105 H. J. Res. 127,HJRes 127,Retrieve Bill Profile Report,Introduced in the House,Representative Ralph M. Hall (D - TX),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_127_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to establish an elected Officer of the United States with the responsibilities of the Attorney General.,C:\Users\sal853\Documents\congressional_record\data\bills-105hjres127ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres127ih.txt,"IA

105TH CONGRESS
2D SESSION

H. J. RES. 127

Proposing an amendment to the Constitution of the United States to establish
an elected Officer of the United States with the responsibilities of the
Attorney General.

IN THE HOUSE OF REPRESENTATIVES
AUGUST 6, 1998
Mr. HALL of Texas (for himself and Mr. TAYLOR of Mississippi) introduced
the following joint resolution; which was referred to the Committee on the
Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to establish an elected Officer of the United
States with the responsibilities of the Attorney General.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

2
1
2

‘‘ARTICLE —
‘‘An Officer of the United States having the respon-

3 sibilities of the Attorney General as they exist under law
4 as of the date of ratification of this article, and as they
5 may be augmented by subsequent legislation, shall be
6 elected by the people of the United States whenever an
7 election for the President is held.’’.

Æ

•HJ 127 IH

"
31,111 H. J. Res. 11 (Introduced in the House),111- 1,"January 07, 2009",111 H. J. Res. 11,HJRes 11,Retrieve Bill Profile Report,Introduced in the House,Representative Candice S. Miller (R - MI),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.111_hjres_11_ih?accountid=11311,None,None,None,None,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.",C:\Users\sal853\Documents\congressional_record\data\bills-111hjres11ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-111hjres11ih.txt,"IA

111TH CONGRESS
1ST SESSION

H. J. RES. 11

Proposing an amendment to the Constitution of the United States to provide
that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons
in each State who are citizens of the United States.

IN THE HOUSE OF REPRESENTATIVES
Mrs. MILLER

JANUARY 7, 2009
of Michigan introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in
each State who are citizens of the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con-

rfrederick on PROD1PC67 with BILLS

5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

VerDate Nov 24 2008

06:02 Jan 08, 2009

Jkt 079200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ11.IH

HJ11

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘Representatives shall be apportioned among the sev-

5 eral States according to their respective numbers, which
6 shall be determined by counting the number of persons
7 in each State who are citizens of the United States.’’.

rfrederick on PROD1PC67 with BILLS

Æ

•HJ 11 IH
VerDate Nov 24 2008

06:02 Jan 08, 2009

Jkt 079200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ11.IH

HJ11

"
32,112 H. J. Res. 30 (Introduced in the House),112- 1,"February 14, 2011",112 H. J. Res. 30,HJRes 30,Retrieve Bill Profile Report,Introduced in the House,Representative Jesse Louis Jackson Jr. (D - IL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.112_hjres_30_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States regarding the right of citizens of the United States to health care of equal high quality.,C:\Users\sal853\Documents\congressional_record\data\bills-112hjres30ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-112hjres30ih.txt,"IA

112TH CONGRESS
1ST SESSION

H. J. RES. 30

Proposing an amendment to the Constitution of the United States regarding
the right of citizens of the United States to health care of equal high
quality.

IN THE HOUSE OF REPRESENTATIVES
Mr. JACKSON

FEBRUARY 14, 2011
of Illinois introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States regarding the right of citizens of the United
States to health care of equal high quality.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
tjames on DSKG8SOYB1PROD with BILLS

7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

VerDate Mar 15 2010

05:45 Feb 15, 2011

Jkt 099200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ30.IH

HJ30

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. All persons shall enjoy the right to

3 health care of equal high quality.
4

‘‘SECTION 2. The Congress shall have power to en-

5 force and implement this article by appropriate legisla6 tion.’’.

tjames on DSKG8SOYB1PROD with BILLS

Æ

•HJ 30 IH
VerDate Mar 15 2010

05:45 Feb 15, 2011

Jkt 099200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ30.IH

HJ30

"
33,115 S. J. Res. 20 (Introduced in the Senate),115- 1,"February 03, 2017",115 S. J. Res. 20,SJRes 20,Retrieve Bill Profile Report,Introduced in the Senate,Senator Jon Tester (D - MT),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.115_sjres_20_is?accountid=11311,None,None,None,None,"Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies, and other corporate entities established by the laws of any State, the United States, or any foreign state.",C:\Users\sal853\Documents\congressional_record\data\bills-115sjres20is.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-115sjres20is.txt,"IIA

115TH CONGRESS
1ST SESSION

S. J. RES. 20

Proposing an amendment to the Constitution of the United States to clarify
the authority of Congress and the States to regulate corporations, limited
liability companies, and other corporate entities established by the laws
of any State, the United States, or any foreign state.

IN THE SENATE OF THE UNITED STATES
FEBRUARY 3, 2017
Mr. TESTER (for himself and Mr. WHITEHOUSE) introduced the following
joint resolution; which was read twice and referred to the Committee on
the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to clarify the authority of Congress and the States
to regulate corporations, limited liability companies, and
other corporate entities established by the laws of any
State, the United States, or any foreign state.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol-

sradovich on DSK3GMQ082PROD with BILLS

4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

VerDate Sep 11 2014

21:15 Feb 03, 2017

Jkt 069200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\SJ20.IS

SJ20

2
1 ratified by the legislatures of three-fourths of the several
2 States:
3
4

‘‘ARTICLE —
‘‘SECTION 1. The rights enumerated in this Constitu-

5 tion and other rights retained by the people shall be the
6 rights of natural persons.
7

‘‘SECTION 2. As used in this Constitution, the terms

8 ‘people’, ‘person’, and ‘citizen’ shall not include a corpora9 tion, a limited liability company, or any other corporate
10 entity established by the laws of any State, the United
11 States, or any foreign state.
12

‘‘SECTION 3. A corporate entity described in section

13 2 shall be subject to such regulation as the people, through
14 representatives in Congress and State representatives,
15 may determine reasonable, consistent with the powers of
16 Congress and the States under this Constitution.
17

‘‘SECTION 4. Nothing in this Constitution shall be

18 construed to limit the rights enumerated in this Constitu19 tion and other rights retained by the people, which are
20 unalienable.’’.

sradovich on DSK3GMQ082PROD with BILLS

Æ

•SJ 20 IS
VerDate Sep 11 2014

21:15 Feb 03, 2017

Jkt 069200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\SJ20.IS

SJ20

"
