,Date,Type,Action,Links,Bill:,Congress-Session:
53,"September 21, 1989",status,Reported in the Senate unfavorably,135 Cong Rec S 11684,SJRES 180,101- 1
54,"August 01, 1989",status,Senate Committee on the Judiciary held hearings,135 Cong Rec S 9179,SJRES 180,101- 1
55,"July 18, 1989",referral,Referred to the Senate Judiciary Committee,135 Cong Rec S 8129,SJRES 180,101- 1
56,"December 22, 1916",status,Referred with Amendments Senate,,SJRes 55,64- 2
57,Session 1,,,,SJRes 55,64- 2
58,"December 16, 1915",status,Introduced in the Senate,,SJRes 55,64- 2
59,"April 21, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 2471,HJRes 43,109- 1
60,"March 04, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1516,HJRes 29,108- 1
61,"May 20, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 2687,HJRes 200,103- 1
62,"June 29, 1989",status,Cosponsors added,135 Cong Rec H 3522,HJRes 336,101- 1
63,"June 27, 1989",referral,Referred to the House Judiciary Committee,135 Cong Rec H 3257,HJRes 336,101- 1
64,"August 06, 1998",referral,Referred to the Senate Committee on the Judiciary,144 Cong Rec H 7414,HJRes 127,105- 2
65,"January 07, 2009",status,Introduced in the House,155 Cong Rec H71,HJRes 11,111- 1
66,"January 07, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H71,HJRes 11,111- 1
67,"February 14, 2011",status,Introduced in the House,157 Cong Rec H774,HJRes 30,112- 1
68,"February 14, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H774,HJRes 30,112- 1
69,"February 03, 2017",status,Introduced in the Senate,163 Cong Rec S680,SJRes 20,115- 1
70,"February 03, 2017",referral,Referred to the Senate Committee on the Judiciary,163 Cong Rec S680,SJRes 20,115- 1
71,"February 01, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 284,HJRes 15,109- 1
72,"January 21, 2010",status,Introduced in the House,156 Cong Rec H326,HJRes 69,111- 2
73,"January 21, 2010",referral,Referred to the House Committee on the Judiciary.,156 Cong Rec H326,HJRes 69,111- 2
74,"November 15, 2011",status,Introduced in the House,157 Cong Rec H7626,HJRes 88,112- 1
75,"November 15, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H7626,HJRes 88,112- 1
76,"April 24, 1884",status,Reported in House,,HRes 25,48- 1
77,"December 10, 1883",status,Referred to Committee House,,HRes 25,48- 1
78,"March 31, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 2514,HJRes 44,108- 1
79,"November 16, 1993",status,Cosponsor(s) added,139 Cong Rec H 9854,HJRes 180,103- 1
80,"October 14, 1993",status,Cosponsor(s) added,139 Cong Rec H 8002,HJRes 180,103- 1
81,"June 10, 1993",status,Cosponsor(s) added,139 Cong Rec H 3457,HJRes 180,103- 1
82,"April 21, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1992,HJRes 180,103- 1
83,"January 07, 1884",status,Referred to Committee House,,HRes 69,48- 1
84,"November 16, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
85,"November 16, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
86,"October 14, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
87,"October 14, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
88,"October 13, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
89,"October 13, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
90,"October 12, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
91,"October 12, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
92,"October 12, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
93,"October 09, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
94,"October 09, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
95,"October 09, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
96,"October 08, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
97,"October 08, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
98,"October 06, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
99,"October 06, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
100,"October 02, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
101,"October 01, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
102,"October 01, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
103,"September 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
104,"September 23, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
105,"September 23, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
106,"August 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
107,"August 28, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
108,"August 11, 1970",status,Referred to Committee House,,HJRes 264,91- 2
109,"August 11, 1970",status,Received in Senate,,HJRes 264,91- 2
110,"August 11, 1970",status,Placed on Calendar Senate,,HJRes 264,91- 2
111,"August 10, 1970",status,Committee Discharged House,,HJRes 264,91- 2
112,Session 1,,,,HJRes 264,91- 2
113,"August 10, 1969",status,Considered and Passed House,,HJRes 264,91- 2
114,"January 16, 1969",status,Introduced in the House,,HJRes 264,91- 2
115,"January 25, 2011",status,Introduced in the Senate,157 Cong Rec S127,SJRes 2,112- 1
116,"January 25, 2011",referral,Referred to the Senate Committee on the Judiciary.,157 Cong Rec S127,SJRes 2,112- 1
117,"January 17, 2007",status,Introduced in the House,153 Cong Rec H672,HJRes 17,110- 1
118,"January 17, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H672,HJRes 17,110- 1
119,"February 22, 1923",status,Reported in House,,SJRes 253,67- 4
120,"February 14, 1923",status,Referred to Committee House,,SJRes 253,67- 4
121,"February 12, 1923",status,Ordered to be Printed Senate,,SJRes 253,67- 4
122,"December 05, 1922",status,Reported in Senate,,SJRes 253,67- 4
123,"September 19, 1994",status,Cosponsor(s) added,140 Cong Rec H 9224,HJRes 129,103- 1
124,"May 17, 1994",status,Cosponsor(s) added,140 Cong Rec H 3522,HJRes 129,103- 1
125,"May 09, 1994",status,Cosponsor(s) added,140 Cong Rec H 3191,HJRes 129,103- 1
126,"May 03, 1994",status,Cosponsor(s) added,140 Cong Rec H 2994,HJRes 129,103- 1
127,"April 28, 1994",status,Cosponsor(s) added,140 Cong Rec H 2914,HJRes 129,103- 1
128,"February 28, 1994",status,Cosponsor(s) added,140 Cong Rec H 889,HJRes 129,103- 1
129,"February 22, 1994",status,Cosponsor(s) added,140 Cong Rec H 559,HJRes 129,103- 1
130,"February 10, 1994",status,Cosponsor(s) added,140 Cong Rec H 501,HJRes 129,103- 1
131,"February 07, 1994",status,Cosponsor(s) added,140 Cong Rec H 296,HJRes 129,103- 1
132,"January 25, 1994",status,Cosponsor(s) added,140 Cong Rec H 44,HJRes 129,103- 1
133,Session 1,,,,HJRes 129,103- 1
134,"November 22, 1993",status,Cosponsor(s) added,139 Cong Rec H 10989,HJRes 129,103- 1
135,"October 22, 1993",status,Cosponsor(s) added,139 Cong Rec H 8433,HJRes 129,103- 1
136,"October 06, 1993",status,Cosponsor(s) added,139 Cong Rec H 7542,HJRes 129,103- 1
137,"September 21, 1993",status,Cosponsor(s) added,139 Cong Rec H 6848,HJRes 129,103- 1
138,"September 08, 1993",status,Cosponsor(s) added,139 Cong Rec H 6514,HJRes 129,103- 1
139,"August 02, 1993",status,Cosponsor(s) added,139 Cong Rec H 5663,HJRes 129,103- 1
140,"July 23, 1993",status,Cosponsor(s) added,139 Cong Rec H 5073,HJRes 129,103- 1
141,"July 13, 1993",status,Cosponsor(s) added,139 Cong Rec H 4574,HJRes 129,103- 1
142,"May 11, 1993",status,Cosponsors added,139 Cong Rec H 2428,HJRes 129,103- 1
143,"April 22, 1993",status,Cosponsors added,139 Cong Rec H 2024,HJRes 129,103- 1
144,"April 19, 1993",status,Cosponsors added,139 Cong Rec H 1905,HJRes 129,103- 1
145,"March 25, 1993",status,Cosponsors added,139 Cong Rec H 1641,HJRes 129,103- 1
146,"March 23, 1993",status,Cosponsors added,139 Cong Rec H 1550,HJRes 129,103- 1
147,"March 09, 1993",status,Cosponsors added,139 Cong Rec H 1081,HJRes 129,103- 1
148,"March 03, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1010,HJRes 129,103- 1
149,"April 11, 1906",status,Ordered to be Printed House,,HJRes 120,59- 1
150,"March 14, 1906",status,Introduced in the House,,HJRes 120,59- 1
151,"August 05, 2011",status,Introduced in the House,157 Cong Rec H5896,HJRes 75,112- 1
152,"August 05, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H5896,HJRes 75,112- 1
153,"February 12, 2015",status,Introduced in the House,161 Cong Rec H1035,HJRes 32,114- 1
154,"February 12, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H1035,HJRes 32,114- 1
155,"February 12, 2015",others,Introductory remarks by Rep. Huelskamp (R-KS),161 Cong Rec H1017,HJRes 32,114- 1
156,"April 23, 2015",status,Introduced in the Senate,161 Cong Rec S2400,SJRes 13,114- 1
157,"April 23, 2015",referral,Referred to the Senate Committee on the Judiciary,161 Cong Rec S2400,SJRes 13,114- 1
158,"January 16, 2014",status,Introduced in the House,160 Cong Rec H1241,HJRes 107,113- 2
159,"January 16, 2014",referral,Referred to the House Committee on the Judiciary,160 Cong Rec H1241,HJRes 107,113- 2
160,"July 12, 1999",status,"Remarks by Rep. BEREUTER, DOUGLAS K (R-NE)",145 Cong Rec E 1513,HJRes 33,106- 1
161,"July 01, 1999",status,"Remarks by Rep. BISHOP, SANFORD D JR (D-GA)",145 Cong Rec E 1486,HJRes 33,106- 1
162,"July 01, 1999",status,"Remarks by Rep. HOYER, STENY H (D-MD)",145 Cong Rec E 1490,HJRes 33,106- 1
163,"June 25, 1999",status,"Remarks by Rep. DAVIS, DANNY K (D-IL)",145 Cong Rec E 1409,HJRes 33,106- 1
164,"June 25, 1999",status,"Remarks by Rep. SHOWS, RONNIE (D-MS)",145 Cong Rec E 1413,HJRes 33,106- 1
165,"June 24, 1999",status,"Remarks by Rep. TRAFICANT, JAMES A JR (D-OH)",145 Cong Rec H 4830,HJRes 33,106- 1
166,"June 24, 1999",status,"Amendment offered by Rep. Watt in the nature of a substitute that sought to propose the following article as an amendment to the Constitution of the United States: ''Not inconsistent with the first article of amendment to this Constitution, the Congress shall have power to prohibit the physical desecration of the flag of the United States''",145 Cong Rec H 4833,HJRes 33,106- 1
167,"June 24, 1999",status,"House rejected Watt amendment by a yea and nay vote of 115 yeas to 310 nays, ( Roll No. 251)",145 Cong Rec H 4841,HJRes 33,106- 1
168,"June 24, 1999",status,"The House passed H.J. Res. 33, by a recorded vote of 305 ayes to 124 noes, ( Roll No. 252)",145 Cong Rec H 4843,HJRes 33,106- 1
169,"June 23, 1999",status,House began consideration pursuant to H. Res. 217,145 Cong Rec H 4787,HJRes 33,106- 1
170,"June 22, 1999",status,"Remarks by Rep. PAUL, RONALD E (R-TX)",145 Cong Rec H 4716,HJRes 33,106- 1
171,"June 18, 1999",status,House Committee on the Judiciary reported ( H. Rept. 106-191).,145 Cong Rec H 4664,HJRes 33,106- 1
172,"May 26, 1999",status,House Committee on the Judiciary ordered reported.,145 Cong Rec D 594,HJRes 33,106- 1
173,"April 14, 1999",status,Approved for full committee action by Subcommittee on Constitution,145 Cong Rec D 385,HJRes 33,106- 1
174,"March 23, 1999",status,Hearing held by the House Subcommittee on the Constitution,145 Cong Rec D 331,HJRes 33,106- 1
175,"February 24, 1999",status,"Remarks by Rep. PACKARD, RONALD C (R-VA)",145 Cong Rec E 267,HJRes 33,106- 1
176,"February 24, 1999",status,"Remarks by Rep. GIBBONS, JAMES A (R-NV)",145 Cong Rec H 723,HJRes 33,106- 1
177,"February 24, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 795,HJRes 33,106- 1
178,"January 07, 1886",status,Referred to Committee House,,HRes 69,49- 1
179,"April 04, 2000",status,"Remarks by Sen. FRIST, WILLIAM H (R-TN)",146 Cong Rec S 2098,SJRes 14,106- 1
180,"April 04, 2000",status,"Remarks by Sen. CHAFEE, LINCOLN D (R-RI)",146 Cong Rec S 2099,SJRes 14,106- 1
181,"March 30, 2000",status,"Remarks by Rep. GILMAN, BENJAMIN A. (R-NY)",146 Cong Rec E 459,SJRes 14,106- 1
182,"March 29, 2000",status,Senate unanimously agreed to cloture motion to close further debate on the resolution by 100 yeas ( Vote No. 47),146 Cong Rec S 1839,SJRes 14,106- 1
183,"March 29, 2000",status,"Remarks by Sen. DODD, CHRISTOPHER J (D-CT)",146 Cong Rec S 1855,SJRes 14,106- 1
184,"March 29, 2000",status,Senate resumed consideration (under unanimous consent),146 Cong Rec S 1857,SJRes 14,106- 1
185,"March 29, 2000",status,Senate rejected resolution by 63 yeas to 37 nays two-thirds required ( Vote No. 48),146 Cong Rec S 1874,SJRes 14,106- 1
186,"March 28, 2000",status,Senate resumed consideration (under previous order),146 Cong Rec S 1765,SJRes 14,106- 1
187,"March 28, 2000",status,Senate rejected McConnell Amendment No. 2889 by 36 yeas to 64 nays ( Vote No. 45),146 Cong Rec S 1794,SJRes 14,106- 1
188,"March 28, 2000",status,Motion to table Hollings Amendment No. 2890 by Sen. Hatch,146 Cong Rec S 1795,SJRes 14,106- 1
189,"March 28, 2000",status,Senate tabled Hollings Amendment No. 2890 by 67 yeas to 33 nays ( Vote No. 46),146 Cong Rec S 1796,SJRes 14,106- 1
190,"March 28, 2000",status,Cong Rec S 1765 Senate resumed consideration (under previous order),,SJRes 14,106- 1
191,"March 27, 2000",status,Senate began consideration (under previous order),146 Cong Rec S 1706,SJRes 14,106- 1
192,"March 27, 2000",status,Amendment No. 2889 offered by Sen. McConnell in the nature of a substitute,146 Cong Rec S 1706,SJRes 14,106- 1
193,"March 27, 2000",status,Amendment No. 2890 offered by Sen. Hollings to propose an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections,146 Cong Rec S 1722,SJRes 14,106- 1
194,"March 27, 2000",status,"Motion entered to close further debate on the measure with a vote to occur on Wednesday, March 29, 2000",146 Cong Rec S 1737,SJRes 14,106- 1
195,"March 27, 2000",status,Amendments printed,146 Cong Rec S 1750,SJRes 14,106- 1
196,"March 23, 2000",status,Unanimous consent agreement in the Senate providing for consideration,146 Cong Rec S 1651,SJRes 14,106- 1
197,"March 20, 2000",status,Senate Committee on the Judiciary reported ( S. Rept. 106-246),146 Cong Rec S 1461,SJRes 14,106- 1
198,Session 1,,,,SJRes 14,106- 1
199,"April 29, 1999",status,Senate Committee on the Judiciary ordered reported.,145 Cong Rec D 458,SJRes 14,106- 1
200,"April 28, 1999",status,Senate Committee on the Judiciary concluded hearings.,145 Cong Rec D 448,SJRes 14,106- 1
201,"April 21, 1999",status,"Senate Subcommittee on Constitution, Federalism, and Property Rights approved for full committee consideration",145 Cong Rec D 417,SJRes 14,106- 1
202,"April 20, 1999",status,Senate Committee on the Judiciary held a hearing,145 Cong Rec D 406,SJRes 14,106- 1
203,"March 17, 1999",referral,Referred to the Senate Committee on the Judiciary,145 Cong Rec S 2840,SJRes 14,106- 1
204,"March 17, 1999",status,"Remarks by Sen. HATCH, ORRIN G (R-UT)",145 Cong Rec S 2865,SJRes 14,106- 1
205,"March 17, 1999",status,"Remarks by Sen. CLELAND, JOSEPH MAXWELL (D-GA)",145 Cong Rec S 2866,SJRes 14,106- 1
206,"March 17, 1999",status,"Remarks by Sen. ASHCROFT, JOHN D (R-MO)",145 Cong Rec S 2867,SJRes 14,106- 1
207,"June 03, 1924",status,Ordered to be Printed House,,HJRes 68,68- 1
208,"December 10, 1923",status,Introduced in the House,,HJRes 68,68- 1
209,"July 24, 2013",status,Introduced in the House,159 Cong Rec H5050,HJRes 53,113- 1
210,"July 24, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H5050,HJRes 53,113- 1
211,"March 13, 2014",status,Introduced in the Senate,160 Cong Rec S1653,SJRes 34,113- 2
212,"March 13, 2014",referral,Referred to the Senate Committee on the Judiciary,160 Cong Rec S1653,SJRes 34,113- 2
213,"April 10, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 3304,HJRes 48,108- 1
214,"December 24, 1846",status,Referred to Committee Senate,,SRes 2,29- 2
215,"March 24, 1965",status,Reported in House,,HJRes 1,89- 1
216,"March 21, 1965",status,Ordered to be Printed House,,HJRes 1,89- 1
217,"January 04, 1965",status,Introduced in the House,,HJRes 1,89- 1
218,"July 25, 2003",status,Remarks by Rep. Smith (D-WA),149 Cong Rec E 1619,HJRes 4,108- 1
219,"June 09, 2003",status,Remarks by Rep. Ryan (D-WI),149 Cong Rec E 1180,HJRes 4,108- 1
220,"June 05, 2003",status,Remarks by Rep. Miller (R-FL),149 Cong Rec E 1155,HJRes 4,108- 1
221,"June 05, 2003",status,Remarks by Rep. Herger (R-CA),149 Cong Rec E 1160,HJRes 4,108- 1
222,"June 03, 2003",status,House considered,149 Cong Rec H 4817,HJRes 4,108- 1
223,"June 03, 2003",status,"Amendment offered by Rep. Watt (D-NC) in the nature of a substitute to propose a constitutional amendment providing that, not inconsistent with the first article of amendment to the constitution, the Congress shall have power to prohibit the physical desecration of the flag",149 Cong Rec H 4836,HJRes 4,108- 1
224,"June 03, 2003",status,House rejected Watt Amendment in the nature of a substitute by 129 yeas to 296 nays ( Roll No. 233),149 Cong Rec H 4841,HJRes 4,108- 1
225,"June 03, 2003",status,House passed by 300 yeas to 125 nays ( Roll No. 234),149 Cong Rec H 4842,HJRes 4,108- 1
226,"June 03, 2003",status,Remarks by Rep. Larson (D-CT),149 Cong Rec H 4843,HJRes 4,108- 1
227,"June 02, 2003",status,Report filed by the House Committee on the Judiciary ( H. Rept. 108-131),149 Cong Rec H 4786,HJRes 4,108- 1
228,"May 21, 2003",status,Order reported by House Committee on the Judiciary,149 Cong Rec D 569,HJRes 4,108- 1
229,"February 27, 2003",status,Remarks by Rep. Ryan (D-OH),149 Cong Rec E 325,HJRes 4,108- 1
230,"January 07, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 60,HJRes 4,108- 1
231,"February 25, 2009",status,Introduced in the Senate,155 Cong Rec S2474,SJRes 11,111- 1
232,"February 25, 2009",referral,Referred to the Senate Committee on the Judiciary.,155 Cong Rec S2474,SJRes 11,111- 1
233,"February 25, 2009",others,Remarks by Sen. Murkowski (R-AK),155 Cong Rec S2488,SJRes 11,111- 1
234,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 155,HJRes 21,105- 1
235,"March 12, 1914",status,Referred to Committee Senate,,SJRes 126,63- 2
236,"April 14, 1999",status,"Remarks by Rep. JOHNSON, SAMUEL R (R-TX)",145 Cong Rec E 643,HJRes 45,106- 1
237,"April 14, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 2054,HJRes 45,106- 1
238,"June 06, 1989",status,Cosponsors added,135 Cong Rec H 2349,HJRes 181,101- 1
239,"May 10, 1989",status,Cosponsors added,135 Cong Rec H 1833,HJRes 181,101- 1
240,"April 17, 1989",status,Cosponsors added,135 Cong Rec H 1279,HJRes 181,101- 1
241,"April 05, 1989",status,Cosponsors added,135 Cong Rec H 962,HJRes 181,101- 1
242,"March 08, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 563,HJRes 181,101- 1
243,"December 13, 1995",status,Remarks by Sen. Bingaman NM,141 Cong Rec S 18566,SJRes 31,104- 1
244,"December 12, 1995",status,"Senate rejected the Biden Amendment No. 3093, in the nature of a substitute, by a recorded vote of 5 yeas and 93 nays (R 0-52; D 5-41) ( Vote No. 597)",141 Cong Rec S 18392,SJRes 31,104- 1
245,"December 12, 1995",status,"Senate rejected the McConnell Amendment No. 3097, in the nature of a substitute, by a recorded vote of 28 yeas and 71 nays (R 5-48; D 23-23) ( Vote No. 599)",141 Cong Rec S 18393,SJRes 31,104- 1
246,"December 12, 1995",status,"Senate sustained a point of order against Hollings Amendment No. 3095, to propose a balanced budget amendment to the Constitution of the United States, as being in violation of the consent agreement of December 8, 1995, which states that all amendments must be relevant to the subject matter of flag desecration, and the amendment thus fell, by a recorded vote of 91 yeas and 8 nays (R 52-1; D 38-8) ( Vote No. 598)",141 Cong Rec S 18393,SJRes 31,104- 1
247,"December 12, 1995",status,"Hollings Amendment No. 3096, to propose a balanced budget amendment to the Constitution of the United States, withdrawn",141 Cong Rec S 18393,SJRes 31,104- 1
248,"December 12, 1995",status,"Senate, two-thirds of Senators voting, a quorum being present, not having voted in the affirmative, failed to pass the resolution, by a recorded vote of 63 yeas and 36 nays (R 49-4; D 14-32) ( Vote No. 600)",141 Cong Rec S 18395,SJRes 31,104- 1
249,"December 11, 1995",status,"Senate resumed consideration of the resolution, taking action on amendments proposed thereto",141 Cong Rec S 18315,SJRes 31,104- 1
250,"December 11, 1995",status,"Biden Amendment No. 3093, in the nature of a substitute, pending in the Senate",141 Cong Rec S 18324,SJRes 31,104- 1
251,"December 11, 1995",status,"Senate adopted the Hatch/Heflin/Feinstein Amendment No. 3094, in the nature of a substitute, by voice vote",141 Cong Rec S 18326,SJRes 31,104- 1
252,"December 11, 1995",status,"Hollings Amendment No. 3095, to propose a balanced budget amendment to the Constitution of the United States, pending in the Senate",141 Cong Rec S 18329,SJRes 31,104- 1
253,"December 11, 1995",status,"Hollings Amendment No. 3096, to propose a balanced budget amendment to the Constitution of the United States, pending in the Senate",141 Cong Rec S 18333,SJRes 31,104- 1
254,"December 11, 1995",status,"McConnell Amendment No. 3097, in the nature of a substitute, pending in the Senate",141 Cong Rec S 18360,SJRes 31,104- 1
255,"December 11, 1995",status,"Senate will continue consideration of the resolution on Tuesday, December 12, 1995, with votes to occur thereon",141 Cong Rec S 18360,SJRes 31,104- 1
256,"December 11, 1995",status,"Biden Amendment No. 3093, submitted",141 Cong Rec S 18364,SJRes 31,104- 1
257,"December 11, 1995",status,"McConnell (and others) Amendment Nos. 3097, submitted",141 Cong Rec S 18365,SJRes 31,104- 1
258,"December 11, 1995",status,"Hatch (and others) Amendment No. 3094, submitted",141 Cong Rec S 18365,SJRes 31,104- 1
259,"December 11, 1995",status,"Hollings Amendment Nos. 3095-6, submitted",141 Cong Rec S 18365,SJRes 31,104- 1
260,"December 08, 1995",status,Senate began consideration of the resolution,141 Cong Rec S 18253,SJRes 31,104- 1
