,Date,Type,Action,Links,Bill:,Congress-Session:
94,"January 04, 1888",status,Referred to Committee House,,HRes 28,50- 1
95,"January 26, 1994",status,Cosponsor(s) added,140 Cong Rec S 185,SJRes 9,103- 1
96,Session 1,,,,SJRes 9,103- 1
97,"July 29, 1993",status,Cosponsor(s) added,139 Cong Rec S 9887,SJRes 9,103- 1
98,"July 26, 1993",status,Cosponsor(s) added,139 Cong Rec S 9450,SJRes 9,103- 1
99,"July 21, 1993",status,Cosponsor(s) added,139 Cong Rec S 9199,SJRes 9,103- 1
100,"July 20, 1993",status,Cosponsor(s) added,139 Cong Rec S 9085,SJRes 9,103- 1
101,"July 15, 1993",status,Cosponsor(s) added,139 Cong Rec S 8837,SJRes 9,103- 1
102,"April 28, 1993",status,Cosponsors added,139 Cong Rec S 5039,SJRes 9,103- 1
103,"February 25, 1993",status,Cosponsors added,139 Cong Rec S 2152,SJRes 9,103- 1
104,"January 28, 1993",status,Cosponsors added,139 Cong Rec S 936,SJRes 9,103- 1
105,"January 21, 1993",referral,Referred to the Senate Judiciary Committee,139 Cong Rec S 194,SJRes 9,103- 1
106,"January 21, 1993",status,"Remarks by Sen. Thurmond, SC",139 Cong Rec S 618,SJRes 9,103- 1
107,"February 16, 1995",status,Cosponsor(s) added,141 Cong Rec S 2889,SJRes 24,104- 1
108,"January 25, 1995",referral,Referred to the Senate Judiciary Committee,141 Cong Rec S 1539,SJRes 24,104- 1
109,"February 27, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 1280,HJRes 150,102- 1
110,"June 04, 1998",referral,Referred to the Senate Committee on the Judiciary,144 Cong Rec S 5634,SJRes 48,105- 2
111,"February 27, 2017",status,Introduced in the Senate,163 Cong Rec S1448,SJRes 24,115- 1
112,"February 27, 2017",referral,Referred to the Senate Committee on the Judiciary,163 Cong Rec S1448,SJRes 24,115- 1
113,"February 27, 2017",others,Remarks by Sen. Hatch (R-UT),163 Cong Rec S1450,SJRes 24,115- 1
114,"January 26, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 234,HJRes 14,109- 1
