,Title:,Congress-Session:,Date:,Chamber:,Citation:,Bill:,Bill Profile:,Bill Status:,Bill Sponsor:,Permalink:,Version Date:,Cosponsors:,Subtitle:,Summary,PDF,TEXT,TEXT_Content
19,101 H. J. Res. 61 (Introduced in the House),101- 1,"January 03, 1989",U.S. House of Representatives,101 H.J.Res. 61,HJRes 61,Retrieve Bill Profile Report,AS INTRODUCED IN THE HOUSE,Representative James Henry Quillen (R - TN),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.101_hjres_61_ih?accountid=11311,"January 03, 1989 Version: -- 1",None,None,"H. J. RES. 61 Proposing an amendment to the Constitution of the United States to provide that appropriations made by the United States shall not exceed its revenues, except in time of war or threat of war as determined by the Congress; and to provide for the systematic paying back of the national debt.",C:\Users\sal853\Documents\congressional_record\data\101-hjres61-000ih-19890103.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\101-hjres61-000ih-19890103.txt,"IA

101ST CONGRESS
1ST SESSION

H.J.RES.61

Proposing an amendment to the Constitution of the United States to provide that
appropriations made by the United States shall not exceed its revenues,
except in time of war or threat of war as determined by the Congress; and to
provide for the systematic paying back of the national debt.

N THE HOUSE OP REPRESENTATIVES
3, 1989
Mr. QUILLEN introduced the following joint resolution; which was referred to the
Committee on the Judiciary
JANUARY

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that appropriations made by the United
States shall not exceed its revenues, except in time of war
or threat of war as determined by the Congress; ind to
provide for the systematic paying back of the national debt.
1

Resolved by the Senate and House of Representatives of

2 the United States of America in Congress assembled (two3 thirds of each House concurring therein), Tha

lie following

4 article is proposed as an amendment to the Constitution of
5 the United States, to be valid only if ratified by the legisla6 tures of three-fourths of the several States within seven years
7 from the date of its submission to the States by the Congress:

2
1
2

'ARTICLE
""SECTION

—

1. Except as provided in section 2, the Con-

3 gress shall make no appropriations for any fiscal year if the
4 resulting total of appropriations for such fiscal year would
5 exceed the total estimated revenues of the United States for
6 such fiscal year.
7

""SECTION

2. In time of war or threat of war, as deter-

8 mined by the Congress, the application 'A section 1 may be
9 suspended by a concurrent resolution which has passed the
10 Senate and the House of Representatives by an affirmative
11 vote of three-fourths of each such House. Such suspension
12 shall be effective only for the two-year term of the Congress
13 which passes such resolution.
14

""SECTION

3. There shall be no increase in the national

15 debt and such debt, as it exists on the date on which this
16 article is ratified, shall be repaid during the one-hundred-year
17 period beginning with the first fiscal year which begins after
18 the date on which this article is ratified. The rate of repay19 ment shall be such that one-tenth of such debt shall be repaid
20 during each ten-year interval of such one-hundred-year
21 period.
22

""SECTION

4. This article shall apply only with respect

23 to fiscal years which begin more than six months after the
24 date on which this article is ratified."".
O

ii.i in in

"
20,113 S. J. Res. 18 (Introduced in the Senate),113- 1,"June 18, 2013",None,113 S. J. Res. 18,SJRes 18,Retrieve Bill Profile Report,Introduced in the Senate,Senator Jon Tester (D - MT),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.113_sjres_18_is?accountid=11311,None,None,None,"Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies or other corporate entities established by the laws of any State, the United States, or any foreign state.",C:\Users\sal853\Documents\congressional_record\data\bills-113sjres18is.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-113sjres18is.txt,"IIA

113TH CONGRESS
1ST SESSION

S. J. RES. 18

Proposing an amendment to the Constitution of the United States to clarify
the authority of Congress and the States to regulate corporations, limited
liability companies or other corporate entities established by the laws
of any State, the United States, or any foreign state.

IN THE SENATE OF THE UNITED STATES
JUNE 18, 2013
Mr. TESTER (for himself and Mr. MURPHY) introduced the following joint resolution; which was read twice and referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to clarify the authority of Congress and the States
to regulate corporations, limited liability companies or
other corporate entities established by the laws of any
State, the United States, or any foreign state.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol-

pwalker on DSK7TPTVN1PROD with BILLS

4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

VerDate Mar 15 2010

01:13 Jun 19, 2013

Jkt 029200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\SJ18.IS

SJ18

2
1 ratified by the legislatures of three-fourths of the several
2 States:
3
4

‘‘ARTICLE —
‘‘SECTION 1. We the people who ordain and establish

5 this Constitution intend the rights protected by this Con6 stitution to be the rights of natural persons.
7

‘‘SECTION 2. The words people, person, or citizen as

8 used in this Constitution do not include corporations, lim9 ited liability companies or other corporate entities estab10 lished by the laws of any State, the United States, or any
11 foreign state, and such corporate entities are subject to
12 such regulation as the people, through their elected State
13 and Federal representatives, deem reasonable and are oth14 erwise consistent with the powers of Congress and the
15 States under this Constitution.
16

‘‘SECTION 3. Nothing contained herein shall be con-

17 strued to limit the people’s rights of freedom of speech,
18 freedom of the press, free exercise of religion, freedom of
19 association and all such other rights of the people, which
20 rights are unalienable.’’.

pwalker on DSK7TPTVN1PROD with BILLS

Æ

•SJ 18 IS
VerDate Mar 15 2010

01:13 Jun 19, 2013

Jkt 029200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\SJ18.IS

SJ18

"
21,109 H. J. Res. 41 (Introduced in the House),109- 1,"April 13, 2005",None,109 H. J. Res. 41,HJRes 41,Retrieve Bill Profile Report,Introduced in the House,Representative Mark Adam Foley (R - FL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.109_hjres_41_ih?accountid=11311,None,None,None,"Proposing an amendment to the Constitution of the United States to provide that no person born in the United States will be a United States citizen unless a parent is a United States citizen, or is lawfully admitted for permanent residence in the United States, at the time of the birth.",C:\Users\sal853\Documents\congressional_record\data\bills-109hjres41ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-109hjres41ih.txt,"IA

109TH CONGRESS
1ST SESSION

H. J. RES. 41

Proposing an amendment to the Constitution of the United States to provide
that no person born in the United States will be a United States
citizen unless a parent is a United States citizen, or is lawfully admitted
for permanent residence in the United States, at the time of the birth.

IN THE HOUSE OF REPRESENTATIVES
APRIL 13, 2005
Mr. FOLEY (for himself, Mr. SHAYS, and Ms. FOXX) introduced the following
joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that no person born in the United
States will be a United States citizen unless a parent
is a United States citizen, or is lawfully admitted for
permanent residence in the United States, at the time
of the birth.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

2
1 ratified by the legislatures of three-fourths of the several
2 States within seven years after the date of its submission
3 for ratification:
4
5

‘‘ARTICLE —
‘‘SECTION 1. No person born in the United States

6 after the date of the ratification of this article shall be
7 a citizen of the United States, or of any State, on account
8 of birth in the United States unless the mother or father
9 of the person is a citizen of the United States, or is law10 fully admitted for permanent residence in the United
11 States, at the time of the birth.
12

‘‘SECTION 2. The Congress shall have power to en-

13 force this article by appropriate legislation.’’.

Æ

•HJ 41 IH

"
22,109 H. J. Res. 46 (Introduced in the House),109- 1,"April 28, 2005",None,109 H. J. Res. 46,HJRes 46,Retrieve Bill Profile Report,Introduced in the House,Representative Ronald E. Paul (R - TX),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.109_hjres_46_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States to deny United States citizenship to individuals born in the United States to parents who are neither United States citizens nor persons who owe permanent allegiance to the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-109hjres46ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-109hjres46ih.txt,"IA

109TH CONGRESS
1ST SESSION

H. J. RES. 46

Proposing an amendment to the Constitution of the United States to deny
United States citizenship to individuals born in the United States to
parents who are neither United States citizens nor persons who owe
permanent allegiance to the United States.

IN THE HOUSE OF REPRESENTATIVES
APRIL 28, 2005
Mr. PAUL (for himself and Mr. ALEXANDER) introduced the following joint
resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to deny United States citizenship to individuals
born in the United States to parents who are neither
United States citizens nor persons who owe permanent
allegiance to the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. Any person born after the date of the

5 ratification of this article to a mother and father, neither
6 of whom is a citizen of the United States nor a person
7 who owes permanent allegiance to the United States, shall
8 not be a citizen of the United States or of any State solely
9 by reason of birth in the United States.
10

‘‘SECTION 2. The Congress shall have power to en-

11 force this article by appropriate legislation.’’.

Æ

•HJ 46 IH

"
23,68 S.J. Res. 22 (Ordered to be Printed Senate),68- 1,"March 19, 1924",U.S. Senate,68 S.J. Res. 22,SJRes 22,Retrieve Bill Profile Report,Ordered to be Printed Senate,Senator George William Norris (R - NE),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.68_sjres_22_ops_19240319?accountid=11311,None,None,None,"Proposing an amendment to the Constitution of the United States fixing the commencement of the terms of President and Vice President and Members of Congress, and fixing the time of the assembling of Congress.",C:\Users\sal853\Documents\congressional_record\data\68-sjres22-00ops-19240319.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\68-sjres22-00ops-19240319.txt,"68TH

CONGRESS,

Q

f

TIT^O

C%C%

IX THE HOUSE OF REPRESENTATIVES.
MARCH

19, 1924.

Referred to the Committee on Election of President. Vice President, and
Representatives in Congress.

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
fixing© the commencement oi the terms of President and Vice
President and Members of Congress, and fixing the time ol
the assembling of ('ongress.
It (-solved by the Senate and House of Hepresortalives
■>

of the f'niled Stales of America hi ('ongress assembled

;;

(liro-thirds of each House concumny therein), That the

4

following amendment of the Constitution be, and hereby

.0

is, proposed to the States, to become valid as a part of-

6

said Constitution when ratified by the legislatures of the

7

several States as provided by the Constitution:

2
1
2

""AKTIOLE
""SECTION

—.

1. The terms of the President and Vice

i)

President in office at the time this amendment takes effect

4

shall end at noon on the third Monday in January and the

5

terms of Senators and Representatives then in office at noon

6

on the first Monday in January, of the year in which such

7

terms would have ended if this article had not heen ratified,

^

and the terms of their successors shall then begin.

1)

""SEC.

2. The Congress shall assemble at least once in

10

every year and such meeting shall be on the first Monday in

1 1

January unless they shall by law appoint a different day.

12

""SEC.

?). If the House of Representatives has not

\:)

chosen a President, whenever the right of choice devolves

I j

upon them, before the time fixed for the beginning of his

If)

trim, then the Vice President chosen for the same term shall

j!',

act as President until the House of Representatives chooses a

/

President but if the House of Representatives has not chosen

s

a President before noon on the fourth day of March next

<)

following, then the Vice President shall become President
(hiring the remainder of the term; and the Congress shall by

21

law provide that in the event the Vice President has not been

22

chosen before the time fixed for the beginning of his term,

>_;)

what officer shall then act as President, and such officer shall

^U

act accordingly until the House of Representatives chooses a

~..>

President, or until the Senate chooses a Vice President.

3
1
»)

** SEC. 4. This amendment shall take effect on the
fifteenth day of October after its ratification.""
Passed the Senate March 14 (calendar day, March
18). 1924.
Attest:

GEORGE A. SANDERSON,
Secretary.

►d

w
<
n
1—»•

(i

Hi

<E>

9*
TO (g g- * r s

i-S
l-S

<1>

T) &
<s rta> O
50
>—•
& <-h
fD cr

en

pa O
B

- P. r. ^ 3

g

•ari

2"". «

— w t-d b. cr
£
« B °
^ ° A> TO ~-

CO

C

S o

3

~

o

'""O

QTQ

05

i-S

&o

GO

&

CD

CO

2

5C ©

o ?a
• T:

0-'

CD

so

D

B

y

ft)

E3

00
01 W

- r^

<t>

t-i

£
P
P
TO

^
»
10
~

O

£

P-

^ ®

^

^

'-J

2 H
S |j
^ |j
J, a>

8!
rt
rt-

O

S

<T>

c

02

House Calendar No. 147
68TH CONGRESS
1ST SESSION

S. J. RES. 22
[Report No. 513]

IX THE HOUSE OF REPRESENTATIVES
MARCH

19, 1924

Referred to the Committee on Election of President, Vice President, and
Representatives in Congress
APRIL

15, 1924

Reported with amendments, referred to the House Calendar, and ordered to
be printed
[Strike out all after the enacting clause and insert the part printed in italic]

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
fixing the commencement of the terms of President and Vice
President and Members of Congress, and fixing the time of
the assembling of Congress.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled,

3

(two-thirds of each House concur rin(j therein). Tka4 tke

4

following amendment el tke €enstitn4ien he? and hereby

5

is_ proposed to the £t*te% to oeeen-ie ¥fdid *s- a fft# of

6

said Constitution: wkon ra4ifted by tke legislatures el the

7

several States m pt*mded by tl+e €ensA

9
a

1
2

u o

SECTION

ARTICLE

-k ¥he

of the Pr-esh

and A^icc

3

President m office ft£ the time this amei

takes effect

4

shall end «4 noon en the third Monday in January and the

5

terms el Senate?s ane! Representatives then in effiee at neon

6

en the first Monday in January, el the vear- in which sueb

7

terms would have

8

ane! the terms ef their successors shall then heginr

if this article had net he en ratified,

9

■^EOr ^7 The Gongress shall assemble at least enee in

10

everv vear and seek meeting shall he en the first Monday in

11

Januaaw unless they shall hy law appoint a different day-r

12

--8fiOr

3T

H the House el Representatives has net

13

ehesen a President whenever the right el eheiee devolves

14

npen tbemr before the thne fibred for the beginning: el his

15

term, then the Vice President ehesen ler- the same term shall

16

aet as President until the House el Representatives chooses a

17

President hut il the House el Representatives has net chosen

18

a Presh

19

foHowingT tiien the A^e President shall become President

20

during the remainder el the term-j an4 the (Vmgrcss shall hy

21

law provide that in the event the Vice President has net been

22

chosen before the time fixed for- the beginning el his term,

23

what effieer shah- then aet as Presidentr and sneh officer shah

24

aet aeee^dingly until the House el Representatives chooses a

25

before neon en the fourth dav- of March next

itr or until the Senate eheeses a Atiee President.

3
1

^-&E<-^ -l-r ¥hk amettfkfteirt £&& toke effeet eft tke

2

fifteenth da* of October afte? its jrffieft&eft^

3

That the following article is proposed as an amendment to

4

the Constitution of the United States, which shall be valid

5

to all intents and purposes as part of the Constitution when

6

ratified by the legislatures of three-fourths of the several

7

States:

8
9

""ARTICLE
""SECTION

—.

1. The terms of the President and Vice

10

President shall end at noon on the twenty-fourth day

11

of January, and the terms of Senators and Representatives

12

at noon on the fourth day of January, of the years in which

13

such terms ivould have ended if this article had not been

14

ratified: and the terms of their successors shall then begin.

15

""SECTION

2. The Congress shall assemble at least once in

16

every year, and such meeting shall be on the fourth day of

17

January, unless they shall by law appoint a different day.

18

""SECTION 3. If the House of Representatives has not

19

chosen a President, whenever the right of choice devolves

20

upon them, before the time fi.red for the beginning of his

21

term, then the Vice President chosen for the same term shall

22

act as President until the House of Representatives chooses

23

a President; and the Congress may by law provide for the

24

case where the Vice President has not been chosen before

25

the time fixed for the beginning of his term, declarine/ what

1

officer shall then act as President, and such officer shall act

2

accordingly until the House of Representatives chooses a

•j

President, or until the Senate chooses a Vice President.

4

""SECTION

4. Sections 1 and 2 shall take effect on the

5

thirtieth day of November following the ratification of this

6

article.""
Amend the title so as to read: "" Joint resolution proposing an amendment to the Constitution of the United
States.""
Passed the Senate March 14 (calendar day, March
.18), 1924.
Attest:

GEORGE A. SANDERSON,
Secretary.

►d

w
CD
•C
C

*-• CD
O I-!
CD i-S

hj Pi

Q
p 3

CD g""
3

P

p

w

P
to
to

a* £

CD
■O

(D
^

'

Q

S3

O

P- g
50

3

CD
CO
CD

3
nP
t-h

i—'•

-3

(0

*-*■

CD
CD
O

g
»—*
CD

w W

1

2?o

^O

11

CO -^

£ O
o 5^
2! m

CD

o T3

CD

p

Ul
GO
I—1

®

CD

aq

<""D

CD

2J

w

g

CD

>
o

W
50

o

CD
2

rt-

CO

S.a-2H»

10
0-

3

CD

B

i-""

co
CO

CJ

CD

p

©

ej,
B^

B^

2 P ® Ct
O
B
cy 3 p
co
—' CD
^
B
3
<r<S"" co
B

i—••

co

c+-

TO -

P

<-! B
O

Us ^ ^

CD

B
e-tO

B

-—v—'

CQ
•

E^

*

m

^
o

I

^ PS

1

3

A, co TO

itH-«

P- 5

w

1

oco

P

w o
p
P o

p

O
■c

CD

(T>

sr <■+
P O

w
o

CD

Hs

3
TO TO w 5i

—h

I! &
o

i-!

O

CO
CO

2 ^

p s

6 *

CD

CD
pi

£

-H B

oo

'

CO

11
I

'—'

m

i

•

]

10

i!

w

"
24,105 H. J. Res. 18 (Introduced in the House),105- 1,"January 07, 1997",None,105 H. J. Res. 18,HJRes 18,Retrieve Bill Profile Report,Introduced in the House,Representative Edward R. Royce (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_18_ih?accountid=11311,None,None,None,"Entitled the ``Citizen's Tax Protection Amendment'', proposing an amendment to the Constitution of the United States to prohibit retroactive taxation.",C:\Users\sal853\Documents\congressional_record\data\bills-105hjres18ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres18ih.txt,"IA

105TH CONGRESS
1ST SESSION

H. J. RES. 18

Entitled the ‘‘Citizen’s Tax Protection Amendment’’, proposing an amendment
to the Constitution of the United States to prohibit retroactive taxation.

IN THE HOUSE OF REPRESENTATIVES
Mr. ROYCE

JANUARY 7, 1997
introduced the following joint resolution; which was referred to the
Committee on the Judiciary

JOINT RESOLUTION
Entitled the ‘‘Citizen’s Tax Protection Amendment’’, proposing an amendment to the Constitution of the United
States to prohibit retroactive taxation.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States:

2
1
2

‘‘ARTICLE —
‘‘Congress shall pass no law increasing taxes or fees

3 which takes effect prior to its enactment.’’.

Æ

HJ 18 IH

"
25,104 H. J. Res. 42 (Introduced in the House),104- 1,"January 04, 1995",None,104 H. J. Res. 42,HJRes 42,Retrieve Bill Profile Report,Introduced in the House,Representative José E. Serrano (D - NY),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.104_hjres_42_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States regarding Presidential election voting rights for residents of United States territories.,C:\Users\sal853\Documents\congressional_record\data\bills-104hjres42ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-104hjres42ih.txt,"IA

104TH CONGRESS
1ST SESSION

H. J. RES. 42

Proposing an amendment to the Constitution of the United States regarding
Presidential election voting rights for residents of United States territories.

IN THE HOUSE OF REPRESENTATIVES
Mr. SERRANO

JANUARY 4, 1995
introduced the following joint resolution; which was referred to
the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States regarding Presidential election voting rights for
residents of United States territories.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. The right of citizens of the United

3 States to vote in the election for President and Vice Presi4 dent shall not be denied or abridged by the United States
5 or by any State on account of residency in a territory of
6 the United States.
7

‘‘SECTION 2. The Congress shall have power to en-

8 force this article by appropriate legislation.’’.

Æ

•HJ 42 IH

"
26,51 H. Res. 9 (Referred to Committee House),51- 1,"December 18, 1889",U.S. House of Representatives,51 H. Res. 9,HRes 9,Retrieve Bill Profile Report,Referred to Committee House,Representative James Robert Williams (D - IL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.51_hres_9_rth_18891218?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States providing for the election of Senators by the votes of the people of the States.,C:\Users\sal853\Documents\congressional_record\data\51-hres9-00rth-18891218.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\51-hres9-00rth-18891218.txt,"51ST CONGRESS,
1ST SESSION.

H. RES. 9

IN THE HOUSE OE REPRESENTATIVES.
DECEMBER

18,1889.

Bead twice, referred to the Committee on the Judiciary, and ordered to be printed.

Mr. WILLIAMS, of Illinois, introduced the following joint
resolution:

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
providing for the election of Senators by the votes of the
people of the States.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein), That the fol-

4

lowing amendment to the Constitution of the United States

5

be proposed to the legislatures of the several States, which,

6

when ratified by three-fourths of said legislatures, shall

7

become and be a part of the Constitution, namely:

8

Strike out the word "" legislature "" in the first clause of

9

section three of article one, and substitute in lieu thereof the

10

word ""people,"" so that said clause shall be as follows: "" The

11

Senate of the United States shall be composed of two Sena-

12

tors from each State, chosen by the people thereof for six

13

years; and each Senator shall have one vote.""

w

1-7!

W

o

8, 1889
the Ju dicia

d I-1

W

vj

£

H

3

i—i

tr1
i—i

oposin an amend
theU ted State
of Set tors by th
States

=-t-

•

p

B JQ

®

K

B

O

g

B

»o

fej

CO ""H

OS)
02

pj ^

o 5'

w

QJ

©

i-S

refe
ered

CD
""

o cc
S
w

a* PJ
CD

P—i.

©

_
©

05

©-. ©
*-•

t-i.

rt-

i—h>

B

=+■

^ * 2
o

5?
a> CD

tr g.

►d © M.
H—
M""
© ©^ PJ

o

Ms © O
r+ ST. C3

BI

©

O

H

© S5 Q

0

Mi

12!

"
27,104 S. J. Res. 23 (Introduced in the Senate),104- 1,"January 24, 1995",None,104 S. J. Res. 23,SJRes 23,Retrieve Bill Profile Report,Introduced in the Senate,Senator Mitch McConnell (R - KY),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.104_sjres_23_is?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States to repeal the twenty-second amendment relating to Presidential term limitations.,C:\Users\sal853\Documents\congressional_record\data\bills-104sjres23is.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-104sjres23is.txt,"II

104TH CONGRESS
1ST SESSION

S. J. RES. 23

Proposing an amendment to the Constitution of the United States to repeal
the twenty-second amendment relating to Presidential term limitations.

IN THE SENATE OF THE UNITED STATES
JANUARY 24 (legislative day, JANUARY 10), 1995
Mr. MCCONNELL introduced the following joint resolution; which was read
twice and referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to repeal the twenty-second amendment relating
to Presidential term limitations.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years from the date of its submission
9 by the Congress:

2
1
2

‘‘ARTICLE —
‘‘The twenty-second article of amendment to the Con-

3 stitution of the United States is hereby repealed.’’.

Æ

•SJ 23 IS

"
28,101 H. J. Res. 81 (Introduced in the House),101- 1,"January 19, 1989",U.S. House of Representatives,101 H.J.Res. 81,HJRes 81,Retrieve Bill Profile Report,AS INTRODUCED IN THE HOUSE,Representative Norman David Shumway (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.101_hjres_81_ih?accountid=11311,"January 19, 1989 Version: -- 1",None,None,JOINT RESOLUTION Proposing an amendment to the Constitution of the United States establishing English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\101-hjres81-000ih-19890119.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\101-hjres81-000ih-19890119.txt,"IA

101ST CONGRESS
1ST SESSION

H.J.RES.81

Proposing an amendment to the Constitution of the United States establishing
English as the official language of the United States.

IN THE HOUSE OF EEPRESENTATIVES
19, 1989
Mr. SHUMWAY (for himself, Mr. ARCHEE, Mr. ARMEY, Mr. BARTON of Texas,
Mrs. BENTLEY, Mr. BILIRAKIS, Mr. BUNNING, Mr. DORNAN of California,
Mr. FAWELL, Mr. HENRY, Mr. IRELAND, Mr. LEWIS of Florida, Mr.
MILLER of Ohio, Mr. MONTGOMERY, Mr. PORTER, Mr. SAXTON, Mrs.
SMITH of Nebraska, Mr. SOLOMON, and Mr. STANGELAND) introduced the
following joint resolution; which was referred to the Committee on the
Judiciary
JANUARY

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States establishing English as the official language of the
United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein),
4
5

""AETICLE
""SECTION

—

1. The English language shall be the official

6 language of the United States.

2
1

""SECTION

2. Neither the United States nor any State

2 shall require, by law, ordinance, regulation, order, decree,
3 program, or policy, the use in the United States of any lan4 guage other than English.
5

""SECTION

3. This article shall not prohibit any law,

6 ordinance, regulation, order, decree, program, or policy—
7

""(1) to provide educational instruction in a lan-

8

guage other than English for the purpose of making

9

students who use a language other than English profi-

10

cient in English,

11
12

""(2) to teach a foreign language to students who
are already proficient in English,

13

""(3) to protect public health and safety, or

14

""(4) to allow translators for litigants, defendants,

15

or witnesses in court cases.

16

""SECTION

4. The Congress and the States may enforce

17 this article by appropriate legislation."".
O

HJ 81 III

"
29,108 H. J. Res. 42 (Introduced in the House),108- 1,"March 20, 2003",None,108 H. J. Res. 42,HJRes 42,Retrieve Bill Profile Report,Introduced in the House,Representative Ronald E. Paul (R - TX),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.108_hjres_42_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States to deny United States citizenship to individuals born in the United States to parents who are neither United States citizens nor persons who owe permanent allegiance to the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-108hjres42ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-108hjres42ih.txt,"IA

108TH CONGRESS
1ST SESSION

H. J. RES. 42

Proposing an amendment to the Constitution of the United States to deny
United States citizenship to individuals born in the United States to
parents who are neither United States citizens nor persons who owe
permanent allegiance to the United States.

IN THE HOUSE OF REPRESENTATIVES
MARCH 20, 2003
Mr. PAUL (for himself, Mr. DUNCAN, Mr. TANCREDO, and Mr. GOODE) introduced the following joint resolution; which was referred to the Committee
on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to deny United States citizenship to individuals
born in the United States to parents who are neither
United States citizens nor persons who owe permanent
allegiance to the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. Any person born after the date of the

5 ratification of this article to a mother and father, neither
6 of whom is a citizen of the United States nor a person
7 who owes permanent allegiance to the United States, shall
8 not be a citizen of the United States or of any State solely
9 by reason of birth in the United States.
10

‘‘SECTION 2. The Congress shall have power to en-

11 force this article by appropriate legislation.’’.

Æ

•HJ 42 IH

"
