,Date,Type,Action,Links,Bill:,Congress-Session:
38,"April 28, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 2737,HJRes 46,109- 1
39,"March 19, 1924",status,Ordered to be Printed Senate,,SJRes 22,68- 1
40,"March 06, 1924",status,Ordered to be Printed Senate,,SJRes 22,68- 1
41,"December 10, 1923",status,Introduced in the Senate,,SJRes 22,68- 1
42,"December 06, 1923",status,Introduced in the Senate,,SJRes 22,68- 1
43,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 155,HJRes 18,105- 1
44,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 176,HJRes 42,104- 1
45,"December 18, 1889",status,Referred to Committee House,,HRes 9,51- 1
46,"July 24, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 7548,SJRes 23,104- 1
47,"January 26, 1995",status,Cosponsor(s) added,141 Cong Rec S 1631,SJRes 23,104- 1
48,"January 24, 1995",referral,Referred to the Senate Judiciary Committee,141 Cong Rec S 1442,SJRes 23,104- 1
49,"January 24, 1995",status,Remarks by Sen. McConnell KY,141 Cong Rec S 1456,SJRes 23,104- 1
50,"July 10, 1990",status,Cosponsors added,136 Cong Rec H 4460,HJRes 81,101- 1
51,"May 16, 1990",status,Cosponsors added,136 Cong Rec H 2407,HJRes 81,101- 1
52,"May 08, 1990",status,Cosponsors added,136 Cong Rec H 2110,HJRes 81,101- 1
53,"February 28, 1990",status,Cosponsors added,136 Cong Rec H 562,HJRes 81,101- 1
54,Session 1,,,,HJRes 81,101- 1
55,"September 12, 1989",status,Cosponsors added,135 Cong Rec H 5596,HJRes 81,101- 1
56,"August 02, 1989",status,Cosponsors added,135 Cong Rec H 4947,HJRes 81,101- 1
57,"July 27, 1989",status,Cosponsors added,135 Cong Rec H 4460,HJRes 81,101- 1
58,"July 26, 1989",status,Cosponsors added,135 Cong Rec H 4353,HJRes 81,101- 1
59,"July 25, 1989",status,Cosponsors added,135 Cong Rec H 4271,HJRes 81,101- 1
60,"July 24, 1989",status,Cosponsors added,135 Cong Rec H 4144,HJRes 81,101- 1
61,"July 18, 1989",status,Cosponsors added,135 Cong Rec H 3882,HJRes 81,101- 1
62,"May 10, 1989",status,Cosponsors added,135 Cong Rec H 1833,HJRes 81,101- 1
63,"April 13, 1989",status,Cosponsors added,135 Cong Rec H 1233,HJRes 81,101- 1
64,"April 12, 1989",status,Cosponsors added,135 Cong Rec H 1127,HJRes 81,101- 1
65,"April 10, 1989",status,Cosponsors added,135 Cong Rec H 998,HJRes 81,101- 1
66,"April 05, 1989",status,Cosponsors added,135 Cong Rec H 962,HJRes 81,101- 1
67,"February 23, 1989",status,Cosponsors added,135 Cong Rec H 383,HJRes 81,101- 1
68,"January 20, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 94,HJRes 81,101- 1
69,"March 20, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 2270,HJRes 42,108- 1
70,"February 04, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 285,HJRes 38,105- 1
71,"June 25, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 4646,HJRes 86,105- 1
72,"September 21, 1994",status,Cosponsor(s) added,140 Cong Rec H 9440,HJRes 107,103- 1
73,"March 17, 1994",status,Cosponsor(s) added,140 Cong Rec H 1541,HJRes 107,103- 1
74,Session 1,,,,HJRes 107,103- 1
75,"February 16, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 639,HJRes 107,103- 1
76,"March 25, 2019",status,Introduced in the Senate,165 Cong Rec S1939,SJRes 14,116- 1
77,"March 25, 2019",referral,Referred to the Senate Committee on the Judiciary,165 Cong Rec S1939,SJRes 14,116- 1
78,"March 03, 2009",status,Introduced in the House,155 Cong Rec H2925,HJRes 34,111- 1
79,"March 03, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H2925,HJRes 34,111- 1
80,"January 03, 2013",status,Introduced in the House,159 Cong Rec H33,HJRes 9,113- 1
81,"January 03, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H33,HJRes 9,113- 1
82,"February 08, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 481,HJRes 24,106- 1
83,"February 04, 2021",status,Introduced in the House,167 Cong Rec H386,HJRes 24,117- 1
84,"February 04, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H386,HJRes 24,117- 1
85,"October 19, 1993",status,Cosponsor(s) added,139 Cong Rec H 8203,HJRes 248,103- 1
86,"August 06, 1993",status,Cosponsor(s) added,139 Cong Rec H 6381,HJRes 248,103- 1
87,"August 04, 1993",status,Cosponsor(s) added,139 Cong Rec H 6049,HJRes 248,103- 1
88,"August 03, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 5740,HJRes 248,103- 1
89,"February 09, 2011",status,Introduced in the House,157 Cong Rec H599,HJRes 25,112- 1
90,"February 09, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H599,HJRes 25,112- 1
91,"February 13, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H1563,HJRes 30,110- 1
92,"February 13, 2007",status,Introduced in the House,153 Cong Rec H1563,HJRes 30,110- 1
93,"July 26, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 7801,HJRes 103,104- 1
94,"March 04, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1516,HJRes 34,108- 1
95,"May 28, 1952",status,Referred with Amendments Senate,,SJRes 158,82- 2
96,"May 26, 1952",status,Introduced in the Senate,,SJRes 158,82- 2
97,"June 09, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 4355,HJRes 53,109- 1
98,"May 08, 2008",referral,Referred to the House Committee on the Judiciary.,154 Cong Rec H3403,HJRes 83,110- 2
99,"May 08, 2008",status,Introduced to the House,154 Cong Rec H3403,HJRes 83,110- 2
100,"February 12, 1997",status,Remarks by Rep. White WA,143 Cong Rec E 243,HJRes 3,105- 1
101,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 153,HJRes 3,105- 1
102,"November 16, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
103,"November 16, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
104,"October 14, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
105,"October 14, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
106,"October 13, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
107,"October 13, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
108,"October 12, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
109,"October 12, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
110,"October 12, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
111,"October 09, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
112,"October 09, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
113,"October 09, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
114,"October 08, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
115,"October 08, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
116,"October 06, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
117,"October 06, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
118,"October 02, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
119,"October 01, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
120,"October 01, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
121,"September 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
122,"September 23, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
123,"September 23, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
124,"August 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
125,"August 28, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
126,"August 11, 1970",status,Referred to Committee House,,HJRes 264,91- 2
127,"August 11, 1970",status,Received in Senate,,HJRes 264,91- 2
128,"August 11, 1970",status,Placed on Calendar Senate,,HJRes 264,91- 2
129,"August 10, 1970",status,Committee Discharged House,,HJRes 264,91- 2
130,Session 1,,,,HJRes 264,91- 2
131,"August 10, 1969",status,Considered and Passed House,,HJRes 264,91- 2
132,"January 16, 1969",status,Introduced in the House,,HJRes 264,91- 2
133,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 97,106- 2
134,"January 07, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 243,HJRes 16,106- 1
135,"September 22, 1893",status,Referred to Committee House,,HRes 52,53- 1
136,"June 11, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 5265,HJRes 59,108- 1
137,"April 09, 2008",referral,Referred to the Senate Committee on the Judiciary.,154 Cong Rec S2817,SJRes 31,110- 2
138,"April 09, 2008",status,Introduced to the Senate,154 Cong Rec S2817,SJRes 31,110- 2
139,"January 04, 2021",status,Introduced in the House,167 Cong Rec H50,HJRes 11,117- 1
140,"January 04, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H50,HJRes 11,117- 1
141,"April 13, 2000",referral,Referred to the Senate Committee on the Judiciary,146 Cong Rec S 2728,SJRes 45,106- 2
142,"April 13, 2000",status,"Remarks by Sen. ASHCROFT, JOHN D (R-MO)",146 Cong Rec S 2770,SJRes 45,106- 2
143,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 176,HJRes 46,104- 1
144,"January 05, 1892",status,Referred to Committee House,,HRes 3,52- 1
145,"March 02, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 528,HJRes 172,101- 1
146,"January 04, 1888",status,Referred to Committee House,,HRes 8,50- 1
147,"September 11, 1893",status,Referred to Committee House,,HRes 38,53- 1
148,"May 08, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 2811,HJRes 246,102- 1
149,"February 04, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 285,HJRes 37,105- 1
150,"March 13, 1947",status,Ordered to be Printed House,,HJRes 27,80- 1
151,"February 21, 1947",status,Reported in Senate,,HJRes 27,80- 1
152,"February 07, 1947",status,Referred to Committee House,,HJRes 27,80- 1
153,"February 05, 1947",status,Ordered to be Printed House,,HJRes 27,80- 1
154,"January 03, 1947",status,Introduced in the House,,HJRes 27,80- 1
155,"January 18, 2007",status,Introduced in the House,153 Cong Rec H759,HJRes 19,110- 1
156,"January 18, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H759,HJRes 19,110- 1
157,"February 04, 2015",status,Introduced in the Senate,161 Cong Rec S772,SJRes 7,114- 1
158,"February 04, 2015",referral,Referred to the Senate Committee on the Judiciary,161 Cong Rec S772,SJRes 7,114- 1
159,"March 21, 2019",status,Introduced in the House,165 Cong Rec H2761,HJRes 52,116- 1
160,"March 21, 2019",referral,Referred to the House Committee on the Judiciary,165 Cong Rec H2761,HJRes 52,116- 1
161,"February 14, 2011",status,Introduced in the House,157 Cong Rec H774,HJRes 29,112- 1
162,"February 14, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H774,HJRes 29,112- 1
163,"December 10, 1883",status,Referred to Committee Senate,,SRes 24,48- 1
164,"February 13, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H1563,HJRes 34,110- 1
165,"February 13, 2007",status,Introduced in the House,153 Cong Rec H1563,HJRes 34,110- 1
166,"March 19, 1991",status,Remarks by Rep. Coleman,137 Cong Rec E 981,HJRes 193,102- 1
167,"March 19, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 1849,HJRes 193,102- 1
168,"July 26, 1989",status,Cosponsors added,135 Cong Rec H 4353,HJRes 340,101- 1
169,"June 28, 1989",referral,Referred to the House Judiciary Committee,135 Cong Rec H 3317,HJRes 340,101- 1
170,"January 09, 2019",status,Introduced in the House,165 Cong Rec H358,HJRes 24,116- 1
171,"January 09, 2019",referral,Referred to the House Committee on the Judiciary ¨H359 ­,165 Cong Rec H358,HJRes 24,116- 1
172,"April 22, 2021",status,Introduced in the House,167 Cong Rec H2107,HJRes 43,117- 1
173,"April 22, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H2107,HJRes 43,117- 1
174,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 96,106- 2
