,Date,Type,Action,Links,Bill:,Congress-Session:
41,"January 30, 2017",status,Introduced in the House,163 Cong Rec H745,HJRes 48,115- 1
42,"January 30, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H745,HJRes 48,115- 1
43,"April 28, 2015",status,Introduced in the House,161 Cong Rec H2498,HJRes 48,114- 1
44,"April 28, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H2498,HJRes 48,114- 1
45,"December 16, 1909",status,Referred to Committee Senate,,SJRes 50,61- 2
46,"December 13, 1909",status,Introduced in the Senate,,SJRes 50,61- 2
47,"May 20, 2021",status,Introduced in the House,167 Cong Rec H2651,HJRes 48,117- 1
48,"May 20, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H2651,HJRes 48,117- 1
49,"February 24, 1926",status,Referred with Amendments House,,SJRes 9,69- 1
50,"February 16, 1926",status,Referred in House,,SJRes 9,69- 1
51,"December 21, 1925",status,Referred with Amendments Senate,,SJRes 9,69- 1
52,"December 08, 1925",status,Introduced in the Senate,,SJRes 9,69- 1
53,"September 09, 1893",status,Referred to Committee House,,HRes 28,53- 1
54,"June 25, 2009",others,Remarks by Rep. Turner (R-OH),155 Cong Rec H7256,HJRes 57,111- 1
55,"June 23, 2009",status,Introduced in the House,155 Cong Rec H7145,HJRes 57,111- 1
56,"June 23, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H7145,HJRes 57,111- 1
57,"February 22, 2019",status,Introduced in the House,165 Cong Rec H2047,HJRes 48,116- 1
58,"February 22, 2019",referral,Referred to the House Committee on the Judiciary,165 Cong Rec H2047,HJRes 48,116- 1
59,"January 20, 1999",status,"Cong Rec E 89 Remarks by Rep. DOOLITTLE, JOHN T (R-CA)",,HJRes 21,106- 1
60,"January 19, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 272,HJRes 21,106- 1
61,"January 07, 1892",status,Referred to Committee House,,HRes 30,52- 1
62,"March 28, 1995",status,Cosponsor(s) added,141 Cong Rec H 3880,HJRes 3,104- 1
63,"March 09, 1995",status,Cosponsor(s) added,141 Cong Rec H 2989,HJRes 3,104- 1
64,"February 15, 1995",status,Cosponsor(s) added,141 Cong Rec H 1850,HJRes 3,104- 1
65,"February 09, 1995",status,Cosponsor(s) added,141 Cong Rec H 1556,HJRes 3,104- 1
66,"February 08, 1995",status,Cosponsor(s) added,141 Cong Rec H 1461,HJRes 3,104- 1
67,"February 06, 1995",status,Cosponsor(s) added,141 Cong Rec H 1281,HJRes 3,104- 1
68,"February 02, 1995",status,Cosponsor(s) added,141 Cong Rec H 1157,HJRes 3,104- 1
69,"February 01, 1995",status,Cosponsor(s) added,141 Cong Rec H 1052,HJRes 3,104- 1
70,"January 31, 1995",status,Cosponsor(s) added,141 Cong Rec H 970,HJRes 3,104- 1
71,"January 24, 1995",status,Cosponsor(s) added,141 Cong Rec H 593,HJRes 3,104- 1
72,"January 19, 1995",status,Cosponsor(s) added,141 Cong Rec H 400,HJRes 3,104- 1
73,"January 11, 1995",status,Cosponsor(s) added,141 Cong Rec H 231,HJRes 3,104- 1
74,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 162,HJRes 3,104- 1
75,"May 12, 1999",status,"Remarks by Rep. ISTOOK, ERNEST J JR (R-OK)",145 Cong Rec E 933,HJRes 53,106- 1
76,"May 12, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 3086,HJRes 53,106- 1
77,"February 06, 1997",referral,Referred to the Senate Judiciary Committee,143 Cong Rec S 1102,SJRes 15,105- 1
78,"February 06, 1997",status,Remarks by Sen. Byrd WV,143 Cong Rec S 1109,SJRes 15,105- 1
79,"January 23, 2017",status,Introduced in the House,163 Cong Rec H608,HJRes 30,115- 1
80,"January 23, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H608,HJRes 30,115- 1
81,"December 15, 1917",status,Referred with Amendments House,,HJRes 1,65- 2
82,Session 1,,,,HJRes 1,65- 2
83,"April 02, 1917",status,Introduced in the House,,HJRes 1,65- 2
84,"May 17, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 5190,HJRes 88,104- 1
85,"March 10, 2017",status,Introduced in the House,163 Cong Rec H2052,HJRes 88,115- 1
86,"March 10, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H2052,HJRes 88,115- 1
87,"April 15, 2021",status,Introduced in the House,167 Cong Rec H1843,HJRes 40,117- 1
88,"April 15, 2021",referral,Referred to the House Committee on the Judiciary,167 Cong Rec H1843,HJRes 40,117- 1
89,"April 27, 2006",referral,Referred to the Senate Committee on the Judiciary.,152 Cong Rec S 3704,SJRes 35,109- 2
90,"April 27, 2006",status,Remarks by Sen. Byrd (D-WV),152 Cong Rec S 3718,SJRes 35,109- 2
91,"March 29, 1950",status,Ordered to be Printed House,,SJRes 2,81- 1
92,"February 02, 1950",status,Referred to Committee House,,SJRes 2,81- 1
93,"January 31, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
94,"January 30, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
95,"January 26, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
96,"January 05, 1950",status,Laid on Table in Senate,,SJRes 2,81- 1
97,Session 1,,,,SJRes 2,81- 1
98,"June 30, 1949",status,Referred with Amendments Senate,,SJRes 2,81- 1
99,"June 30, 1949",status,Reported in Senate,,SJRes 2,81- 1
100,"January 05, 1949",status,Referred to Committee Senate,,SJRes 2,81- 1
101,"January 05, 1949",status,Introduced in the Senate,,SJRes 2,81- 1
102,"September 13, 1961",status,Referred to Committee Senate,,SJRes 12,87- 1
103,"January 04, 1961",status,Introduced in the Senate,,SJRes 12,87- 1
104,"October 10, 1893",status,Referred to Committee House,,HRes 72,53- 1
105,"January 21, 2015",status,Introduced in the House,161 Cong Rec H480,HJRes 23,114- 1
106,"January 21, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H480,HJRes 23,114- 1
107,"January 07, 1892",status,Referred to Committee House,,HRes 31,52- 1
108,"February 14, 2013",status,Introduced in the House,159 Cong Rec H547,HJRes 29,113- 1
109,"February 14, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H547,HJRes 29,113- 1
110,"September 03, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 7839,HJRes 67,108- 1
111,"October 26, 1995",status,Cosponsor(s) added,141 Cong Rec H 10994,HJRes 87,104- 1
112,"May 03, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 4546,HJRes 87,104- 1
113,"January 19, 1883",status,Referred to Committee House,,HRes 321,47- 2
114,"March 29, 2007",status,Introduced in the Senate,153 Cong Rec S4159,SJRes 11,110- 1
115,"March 29, 2007",referral,Referred to the Senate Committee on the Judiciary.,153 Cong Rec S4159,SJRes 11,110- 1
116,"March 29, 2007",others,Remarks by Sen. Byrd (D-WV),153 Cong Rec S4214,SJRes 11,110- 1
117,"June 05, 1992",status,Cosponsors added,138 Cong Rec H 4334,HJRes 496,102- 2
118,"May 28, 1992",referral,Referred to the House Judiciary Committee,138 Cong Rec H 3917,HJRes 496,102- 2
119,"November 16, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
120,"November 16, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
121,"October 14, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
122,"October 14, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
123,"October 13, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
124,"October 13, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
125,"October 12, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
126,"October 12, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
127,"October 12, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
128,"October 09, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
129,"October 09, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
130,"October 09, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
131,"October 08, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
132,"October 08, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
133,"October 06, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
134,"October 06, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
135,"October 02, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
136,"October 01, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
137,"October 01, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
138,"September 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
139,"September 23, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
140,"September 23, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
141,"August 28, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
142,"August 28, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
143,"August 11, 1970",status,Referred to Committee House,,HJRes 264,91- 2
144,"August 11, 1970",status,Received in Senate,,HJRes 264,91- 2
145,"August 11, 1970",status,Placed on Calendar Senate,,HJRes 264,91- 2
146,"August 10, 1970",status,Committee Discharged House,,HJRes 264,91- 2
147,Session 1,,,,HJRes 264,91- 2
148,"August 10, 1969",status,Considered and Passed House,,HJRes 264,91- 2
149,"January 16, 1969",status,Introduced in the House,,HJRes 264,91- 2
150,"June 29, 1993",status,Cosponsor(s) added,139 Cong Rec H 4277,HJRes 195,103- 1
151,"May 25, 1993",status,Cosponsor(s) added,139 Cong Rec H 2816,HJRes 195,103- 1
152,"May 12, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 2462,HJRes 195,103- 1
