source_citation,source_group,title_or_description_from_source,year,month,day,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,text_source_citation,ratified_yn,ratified_amendment,notes
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Reservation of nondelegated powers,1788,5,23,1,1,,,South Carolina State Ratifying Convention,South Carolina,,"This Convention doth also declare, that no section or paragraph of the said Constitution warrants a construction that the states do not retain every power not expressly relinquished by them, and vested in the general government of the Union.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 325. ",yes,10,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction upon the levying of direct taxes,1788,5,23,1,1,,,South Carolina State Ratifying Convention,South Carolina,,"Resolved, That the general government of the United States ought never to impose direct taxes, but where the moneys arising from the duties, imports, and excise, are insufficient for the public exigencies, nor then until Congress shall have made a requisition upon the states to assess, levy, and pay, their respective proportions of such requisitions; and in ease any state shall neglect or refuse to pay its proportion, pursuant to such requisition, then Congress may assess and levy such state's proportion, together with interest thereon, at the rate of six per centum per annum, from the time of payment prescribed by such requisition.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 325. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Oath,1788,5,23,1,1,,,South Carolina State Ratifying Convention,South Carolina,,"Resolved, That the third section of the sixth article ought to be amended, by inserting the word ""other"" between the words ""no"" and ""religious.""","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 325. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Reservation of nondelegated powers,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That it be explicitly declared that all powers not expressly and particularly delegated by the aforesaid Constitution are reserved to the several states, to be by
them exercised.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",yes,10,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Apportionment of Representatives,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That there shall be one representative to every thirty thousand persons, according to the census mentioned in the Constitution, until the whole number of representatives amount to two hundred.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction on Federal control over election of Senators and Representatives,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That Congress do not exercise the powers vested in them by the fourth section of the first article but in cases when a state shall neglect,or refuse to make the regulations therein mentioned, or shall make regulations subversive of the rights of the people to a free and equal representation in Congress ; nor shall Congress in any case make regulations contrary to a free and equal representation.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction upon the levying of direct taxes,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That Congress do not lay direct taxes but when the moneys arising from impost, excise, and their other resources, are insufficient for the public exigencies, nor then, until Congress shall have first made a requisition upon the states to assess, levy, and pay, their respective proportions of such requisition, agreeably to the census fixed in the said Constitution, in such way and manner as the legislature of the state shall think best; and in such case, if any state shall neglect, then Congress may assess and levy such state's proportion, together with the interest thereon, at the rate of six per cent. per annum, from the time of payment prescribed in such requisition.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Commercial monopolies prohibited,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,That Congress shall erect no company of merchants with exclusive advantages of commerce.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Indictment by grand jury,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That no person shall be tried for any crime by which he may incur an infamous punishment, or loss of life, until he first be indicted by a grand jury, except in such cases as may arise in the government and regulation of the land and naval forces.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",yes,5,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Jurisdiction of Federal Courts,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"All common-law cases between citizens of different states shall be commenced in the common-law courts of the respective states; and no appeal shall be allowed to the federal court, in such cases, unless the sum or value of the thing in controversy amount to three thousand dollars.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Trial by jury in civil cases,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"In civil actions between citizens of different states, every issue of fact, arising in actions at common law, shall be tried by jury, if the parties, or either of them, request it.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",yes,7,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Titles of nobility,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"Congress shall at no time consent that any person, holding an office of trust or profit under the United States, shall accept any title of nobility, or any other title or office, from any king, prince, or foreign state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Standing army in time of peace,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"That no standing army shall be kept up in time of peace, unless with the consent of three fourths of the members of each branch of Congress, nor shall sol diers, in time of peace, be quartered upon private houses, without the consent of the owners.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Religion,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"Congress shall make no laws touching religion, or to infringe the rights of conscience.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",yes,1,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Right to bear arms,1788,6,21,1,1,,,New Hampshire State Ratifying Convention,New Hampshire,,"Congress shall never disarm any citizen, unless such as are or have been in actual rebellion.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326. ",yes,2,
,State Ratifying Conventions,Declaration of Rights,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That there are certain natural rights, of which men, when they form a social compact, cannot deprive or divest their posterity; among which are the enjoyment of life and liberty, with the means of acquiring, possessing, and protecting property, and pursuing and obtaining happiness and safety.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Popular Sovereignty,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That all power is naturally invested in, and consequently derived from, the people; that magistrates therefore are their trustees and agents, at all times amenable to them.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Arbitrary Power,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That government ought to be instituted for the common benefit, protection, and security of the people ; and that the doctrine of non-resistance against arbitrary power and oppression is absurd, slavish, and destructive to the good and happiness of mankind.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,No Hereditary Positions,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no man or set of men are entitled to separate or exclusive public emoluments or privileges from the community, but in consideration of public services, which not being descendible, neither ought the offices of magistrate, legislator, or judge, or any other public office, to be hereditary.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Separation of Powers,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the legislative, executive, and judicial powers of government should be separate and distinct ; and, that the members of the two first may be restrained from oppression by feeling and participating the public burdens, they should, at fixed periods, be reduced to a private station, return into the mass of the people, and the vacancies be supplied by certain and regular elections, in which all or any part of the former members to be eligible or ineligible, as the rules of the Constitution of government, and the laws, shall direct.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657-58. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Free Elections,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the elections of representatives in the legislature ought to be free and frequent, and all men having sufficient evidence of permanent common interest with, and attachment to, the community, ought to have the right of suffrage ; and no aid, charge, tax, or fee, can be set, rated, or levied, upon the people without their own consent, or that of their representatives, so elected ; nor can they be bound by any law to which they have not, in like manner, assented, for the public good.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Suspending Laws,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That all power of suspending laws, or the execution of laws, by any authority, without the consent of the representatives of the people in the legislature, is injurious to their rights, and ought not to be exercised.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",no,,Proposed Bill of Rights
,State Ratifying Conventions,Witness and Self Incrimination,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That, in all criminal and capital prosecutions, a man hath a right to demand the cause and nature of his accusation, to be confronted with the accusers and witnesses, to call for evidence, and be allowed counsel in his favor, and to a fair and speedy trial by an impartial jury of his vicinage, without whose unanimous consent he cannot be found guilty, (except in the government of the land and naval forces;) nor can he be compelled to give evidence against himself.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,"5, 6",Proposed Bill of Rights
,State Ratifying Conventions,Due Process,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no freeman ought to be taken, imprisoned, or disseized of his freehold, liberties, privileges, or franchises, or outlawed, or exiled, or in any manner destroyed, or deprived of his life, liberty, or property, but by the law of the land.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,5,Proposed Bill of Rights
,State Ratifying Conventions,Remedy for Wrong,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That every freeman restrained of his liberty is entitled to a remedy, to inquire into the lawfulness thereof, and to remove the same, if unlawful, and that such remedy ought not to be denied nor delayed.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",,,Proposed Bill of Rights
,State Ratifying Conventions,Trial by Jury in Civil Cases,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That, in controversies respecting property, and in suits between man and man, the ancient trial by jury is one of the greatest securities to the rights of the people, and to remain sacred and inviolable.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,7,Proposed Bill of Rights
,State Ratifying Conventions,Remedy for Wrong,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That every freeman ought to find a certain remedy, by recourse to the laws, for all injuries and wrongs he may receive in his person, property, or character. He ought to obtain right and justice freely, without sale, completely and without denial, promptly and without delay; and that all establishments or regulations contravening these rights are oppressive and unjust.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",,,Proposed Bill of Rights
,State Ratifying Conventions,Excessive Bail and Punishments,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That excessive bail ought not to be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,8,Proposed Bill of Rights
,State Ratifying Conventions,Searches and Seizures,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That every freeman has a right to be secure from all unreasonable searches and seizures of his person, his papers, and property; all warrants, therefore, to search suspected places, or seize any freeman, his papers, or property, without information on oath (or affirmation of a person religiously scrupulous of taking an oath) of legal and sufficient cause, are grievous and oppressive; and all general warrants to search suspected places, or to apprehend any suspected person, without specially naming or describing the place or person, are dangerous, and ought not to be granted.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,4,Proposed Bill of Rights
,State Ratifying Conventions,Assembly and Petition,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the people have a right peaceably to assemble together to consult for the common good, or to instruct their representatives; and that every freeman has a right to petition or apply to the legislature for redress of grievances.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 657-58. ",yes,1,Proposed Bill of Rights
,State Ratifying Conventions,Free Speech,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the people have a right to freedom of speech, and of writing and publishing their sentiments ; that the freedom of the press is one of the greatest bulwarks of liberty, and ought not to be violated.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,1,Proposed Bill of Rights
,State Ratifying Conventions,Right to Bear Arms,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That the people have a right to keep and bear arms; that a well-regulated militia, composed of the body of the people trained to arms, is the proper, natural, and safe defence of a free state ; that standing armies, in time of peace, are dangerous to liberty, and therefore ought to be avoided, as far as the circumstances and protection of the community will admit; and that, in all cases, the military should be under strict subordination to, and governed by, the civil power.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,2,Proposed Bill of Rights
,State Ratifying Conventions,Quartering in Peacetime,1788,6,27,1,1,,,Virginia State Ratifying Convention,Virginia,,"That no soldier in time of peace ought to be quartered in any house without the consent of the owner, and in time of war in such manner only as the law directs.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658. ",yes,3,Proposed Bill of Rights
